country,InternetSpeedsFixedBroadbandDownloadSpeed
IN,55.8
CN,230.39
US,215.72
ID,28.28
PK,13.71
NG,18.83
BR,136.92
BD,38.65
RU,81.95
ET,7.11
MX,63.43
JP,170.29
PH,91.08
EG,61.22
CD,26.86
VN,104.08
IR,13.03
TR,38.12
DE,87.94
TH,218.94
TZ,18.52
GB,84.93
FR,200.99
ZA,41.02
IT,69.99
KE,9.95
MM,20.05
CO,111.65
KR,139.83
UG,12.65
SD,8.36
ES,189.37
IQ,31.67
DZ,11.99
AR,75.39
AF,3.07
PL,133.35
CA,165.67
MA,24.78
UA,72.42
AO,15.04
SA,102.41
UZ,54.12
YE,6.12
MZ,12.88
GH,37.27
PE,93.52
MY,110.8
NP,56.26
MG,21.44
CI,60
VE,37.43
CM,10.34
NE,5.12
AU,54.37
SY,4.06
ML,22.45
TW,157.55
BF,43.3
LK,19.57
MW,18.74
ZM,22.01
KZ,47.53
CL,248.65
RO,191.36
SO,12.47
EC,74.33
GT,42.41
SN,21.75
NL,177.88
KH,22.64
ZW,10.01
GN,9.32
RW,30.92
BJ,23.11
BI,5.43
BO,30.71
TN,8.81
HT,32.48
BE,90.59
DO,36.62
JO,109.58
CU,2.19
HN,37.96
SE,127.33
PG,11.01
AZ,30.48
TJ,20.77
GR,47.5
PT,150.45
HU,149.85
AE,235.72
BY,53.8
IL,144.81
TG,28.74
SL,18.09
AT,82.52
CH,187.48
LA,32.82
HK,263.07
NI,49.8
RS,70.95
LY,8.96
PY,83.92
KG,54.37
BG,77.7
TM,8.68
SV,47.99
CG,41.32
SG,264.15
DK,206.8
SK,69.4
FI,102.43
LR,7.58
NO,123.63
PS,64.82
NZ,163.16
CR,79.9
LB,8.27
IE,94.62
MR,18.09
OM,67.64
PA,148.76
KW,153.58
HR,56.51
GE,25.76
MN,62.66
UY,143.06
MD,108.2
BA,28.33
GM,6.89
AL,52.54
JM,62.31
AM,45.31
QA,127.04
BW,7.96
LT,103.26
NA,13.59
GA,37.47
LS,22.46
SI,88.68
MK,39.08
LV,81.01
TT,100.68
BH,79.94
EE,76.46
MU,50.13
CY,61.26
DJ,19.05
FJ,15.79
GY,63.34
BT,12.01
CN,160.52
LU,117.66
SR,11.38
ME,68.38
CV,17.09
EH,20.25
MT,108.19
MV,13.24
BN,73.05
BZ,44.77
BS,54.65
IS,204.8
VU,10.76
BB,92.96
LC,99.96
GD,76.85
FM,13.07
SC,27.56
VC,90.11
AG,33.53
AD,156.9
DM,88.78
KN,55.9
LI,152.22
MC,187.49
SM,70.82
