country,countriesWithMostBeautifulWomen_gudstory,countriesWithMostBeautifulWomen_definition,countriesWithMostBeautifulWomen_bScholarly,countriesWithMostBeautifulWomen_travanya,countriesWithMostBeautifulWomen_brightSide,countriesWithMostBeautifulWomen_scoopWhoop,countriesWithMostBeautifulWomen_worldAtlas,ISO2
India,10.0,5.0,6.0,1.0,,14.0,3.0,IN
United States,,,8.0,4.0,10.0,13.0,2.0,US
Indonesia,,27.0,,,8.0,,,ID
Pakistan,19.0,13.0,,13.0,,,,PK
Nigeria,12.0,,,,,,,NG
Brazil,14.0,30.0,2.0,3.0,15.0,1.0,,BR
Russia,2.0,23.0,4.0,15.0,,6.0,,Not Found
Mexico,,,,6.0,3.0,,,MX
Japan,,,,5.0,13.0,,,JP
Philippines,20.0,6.0,,12.0,2.0,16.0,,PH
Egypt,,21.0,,,,,,EG
Vietnam,,,,,5.0,,,Not Found
Turkey,15.0,11.0,1.0,,,,,Not Found
Thailand,,16.0,,,6.0,,,TH
United Kingdom,13.0,2.0,,9.0,,15.0,6.0,GB
France,16.0,22.0,3.0,14.0,,,,FR
South Africa,5.0,,,7.0,4.0,,,ZA
Italy,4.0,1.0,5.0,10.0,,8.0,,IT
Colombia,9.0,28.0,11.0,,9.0,5.0,,CO
South Korea,7.0,12.0,,,,3.0,,Not Found
Spain,,17.0,,,,,,ES
Argentina,,10.0,,,,12.0,,AR
Afghanistan,18.0,15.0,,,,,,AF
Poland,,25.0,,,14.0,,,PL
Canada,11.0,4.0,,8.0,,10.0,,CA
Morocco,,24.0,,,,,,MA
Ukraine,6.0,14.0,10.0,,,2.0,,UA
Ghana,,29.0,,,,,,GH
Nepal,,,,,11.0,,,NP
Venezuela,3.0,20.0,7.0,,1.0,7.0,1.0,Not Found
Australia,,,,11.0,16.0,11.0,,AU
Romania,,,,,12.0,,,RO
Netherlands,1.0,7.0,,,20.0,9.0,,NL
Bolivia,,3.0,,,,,,Not Found
Sweden,17.0,8.0,9.0,,,17.0,5.0,SE
Belarus,,,,,18.0,,,BY
Israel,,26.0,,,,,,IL
Austria,,,,,19.0,,,AT
Bulgaria,,9.0,,,,,,BG
Denmark,8.0,,,,,4.0,,DK
New Zealand,,,,2.0,,,,NZ
Puerto Rico,,,,,7.0,,4.0,PR
Jamaica,,18.0,,,17.0,,,JM
Lithuania,,19.0,,,,,,LT
