country,gdp,inflation,tax_revenue_pct_gdp,unemployment_pct
AF,14583100000,2.30237,9.89845,11.71
AL,18882100000,6.7252,18.1986,11.808
DZ,1.92E+11,9.26552,,11.55
AD,3352030000,,,
AO,1.07E+11,25.7543,10.0904,10.209
AG,1757600000,7.53108,,
AR,6.33E+11,,11.4844,6.491
AM,19502800000,8.64091,22.0288,12.557
AU,1.68E+12,6.5941,23.1275,3.661
AT,4.71E+11,8.54687,25.783,4.707
AZ,78721100000,13.8523,13.4213,5.462
BH,44390800000,3.62574,4.21684,1.399
BD,4.60E+11,7.69695,7.64236,4.699
BB,5637910000,4.10029,27.4785,8.203
BY,72793500000,15.2097,12.0229,4.17
BE,5.79E+11,9.59751,23.3495,5.631
BZ,2824080000,3.23564,21.1602,9.687
BJ,17401700000,1.35078,10.7891,1.654
BT,2539550000,5.63917,12.9842,3.604
BO,43068900000,1.74633,16.9649,4.419
BA,24527500000,14.0208,19.1168,14.053
BW,20352300000,11.6656,22.246,20.684
BR,1.92E+12,9.28011,14.3168,9.461
BN,16681500000,3.68225,,7.203
BG,89040400000,15.3253,20.6213,4.402
BF,18884600000,14.2902,15.9065,5.175
BI,3073410000,18.8009,13.5974,1.02
CV,2314820000,1.86215,17.8036,13.57
KH,29956800000,5.3437,16.3649,0.361
CM,44341600000,6.24768,10.8706,4.001
CA,2.14E+12,6.8028,13.2594,5.209
CF,2382620000,5.58317,8.20629,6.363
TD,12704100000,5.78803,,1.412
CL,3.01E+11,11.6439,19.5982,7.784
CN,1.80E+13,1.97358,8.09063,4.886
CO,3.44E+11,10.1772,14.4434,10.726
KM,1242520000,-4.29487,,8.811
CG,14615500000,3.04344,9.10708,21.795
CR,68380800000,8.27477,14.0738,11.453
CI,70018700000,5.27617,12.5591,2.637
HR,70964600000,10.7806,152.18,6.746
CU,1.07E+11,,,1.386
CY,28439100000,8.39548,24.1123,6.976
CZ,2.91E+11,15.1002,13.361,2.37
KP,,,,2.962
CD,58066000000,2.88585,10.7041,4.987
DK,3.95E+11,7.69657,35.4556,4.172
DJ,3515110000,5.17981,,27.929
DM,612048000,-0.727116,,
DO,1.14E+11,8.81109,14.3774,7.121
EC,1.15E+11,3.46617,12.8574,3.955
EG,4.77E+11,13.8957,12.5192,6.959
SV,32488700000,7.19862,19.4168,3.822
GQ,11813900000,4.78672,5.37157,8.689
ER,2065000000,,,6.618
EE,38100800000,19.3983,21.4247,5.851
SZ,4854170000,2.59802,,24.389
ET,1.27E+11,26.8395,6.1963,4.018
FJ,4943250000,4.52019,15.9067,4.334
FI,2.81E+11,7.12351,20.6553,6.801
FR,2.78E+12,5.22237,23.9683,7.445
GA,21071700000,4.23125,11.4795,21.469
GE,24605400000,11.8982,21.7308,11.311
DE,4.07E+12,6.87257,11.2253,2.989
GH,72838800000,31.2559,11.3404,3.867
GR,2.19E+11,9.64526,25.3409,12.162
GD,1256410000,1.21951,,
GT,95003300000,6.88513,11.613,2.569
GN,21227700000,10.493,10.8418,5.749
GW,1633560000,9.39384,9.46207,3.583
GY,15357500000,5.03286,,12.358
HT,20253600000,33.9839,,14.836
HN,31717700000,9.08964,14.7654,7.099
HU,1.79E+11,14.6081,21.4633,3.423
IS,27841600000,8.30875,21.6184,3.809
IN,3.39E+12,6.69903,12.0174,7.33
