country,Indicator Type,Series Name,2021,2022,Note
AW,Inflation,Headline Consumer Price Inflation,0.74,6.04,Annual average inflation
AF,Inflation,Headline Consumer Price Inflation,5.06,,Annual average inflation
AO,Inflation,Headline Consumer Price Inflation,23.85,21.35,Annual average inflation
AL,Inflation,Headline Consumer Price Inflation,2.04,6.73,Annual average inflation
AE,Inflation,Headline Consumer Price Inflation,0.18,5.22,Annual average inflation
AR,Inflation,Headline Consumer Price Inflation,48.41,72.43,Annual average inflation
AM,Inflation,Headline Consumer Price Inflation,7.18,8.78,Annual average inflation
AG,Inflation,Headline Consumer Price Inflation,1.63,8.52,Annual average inflation
AU,Inflation,Headline Consumer Price Inflation,2.82,6.5,Annual average inflation
AT,Inflation,Headline Consumer Price Inflation,2.77,8.5,Annual average inflation
AZ,Inflation,Headline Consumer Price Inflation,6.65,13.85,Annual average inflation
BI,Inflation,Headline Consumer Price Inflation,8.31,17.34,Annual average inflation
BE,Inflation,Headline Consumer Price Inflation,2.44,9.6,Annual average inflation
BJ,Inflation,Headline Consumer Price Inflation,5.92,1.31,Annual average inflation
BF,Inflation,Headline Consumer Price Inflation,3.85,14.29,Annual average inflation
BD,Inflation,Headline Consumer Price Inflation,5.31,7.7,Annual average inflation
BG,Inflation,Headline Consumer Price Inflation,2.79,15.33,Annual average inflation
BH,Inflation,Headline Consumer Price Inflation,-0.61,3.61,Annual average inflation
BS,Inflation,Headline Consumer Price Inflation,2.91,5.66,Annual average inflation
BA,Inflation,Headline Consumer Price Inflation,1.98,13.66,Annual average inflation
BY,Inflation,Headline Consumer Price Inflation,9.46,15.21,Annual average inflation
BZ,Inflation,Headline Consumer Price Inflation,3.26,6.18,Annual average inflation
BO,Inflation,Headline Consumer Price Inflation,0.74,1.75,Annual average inflation
BR,Inflation,Headline Consumer Price Inflation,8.3,9.3,Annual average inflation
BB,Inflation,Headline Consumer Price Inflation,3.06,9.9,Annual average inflation
BN,Inflation,Headline Consumer Price Inflation,1.74,3.81,Annual average inflation
BT,Inflation,Headline Consumer Price Inflation,7.33,12.62,Annual average inflation
BW,Inflation,Headline Consumer Price Inflation,7.24,11.59,Annual average inflation
CF,Inflation,Headline Consumer Price Inflation,4.26,6.53,Annual average inflation
KY,Inflation,Headline Consumer Price Inflation,0.76,8.2,Annual average inflation
CA,Inflation,Headline Consumer Price Inflation,3.4,6.8,Annual average inflation
CH,Inflation,Headline Consumer Price Inflation,0.58,2.8,Annual average inflation
CL,Inflation,Headline Consumer Price Inflation,4.52,11.6,Annual average inflation
CN,Inflation,Headline Consumer Price Inflation,0.9,1.97,Annual average inflation
CI,Inflation,Headline Consumer Price Inflation,4.09,5.28,Annual average inflation
CM,Inflation,Headline Consumer Price Inflation,2.27,5.11,Annual average inflation
CD,Inflation,Headline Consumer Price Inflation,8.99,8.44,Annual average inflation
CG,Inflation,Headline Consumer Price Inflation,1.97,3.5,Annual average inflation
CO,Inflation,Headline Consumer Price Inflation,3.5,10.2,Annual average inflation
KM,Inflation,Headline Consumer Price Inflation,-0.18,11.44,Annual average inflation
CV,Inflation,Headline Consumer Price Inflation,1.86,6.5,Annual average inflation
CR,Inflation,Headline Consumer Price Inflation,1.73,8.28,Annual average inflation
CW,Inflation,Headline Consumer Price Inflation,,,Annual average inflation
CY,Inflation,Headline Consumer Price Inflation,0.49,8.4,Annual average inflation
CZ,Inflation,Headline Consumer Price Inflation,3.84,15.1,Annual average inflation
DE,Inflation,Headline Consumer Price Inflation,3.14,7.9,Annual average inflation
DJ,Inflation,Headline Consumer Price Inflation,1.18,6.59,Annual average inflation
DM,Inflation,Headline Consumer Price Inflation,1.57,5.28,Annual average inflation
DK,Inflation,Headline Consumer Price Inflation,1.85,7.7,Annual average inflation
DO,Inflation,Headline Consumer Price Inflation,8.24,8.81,Annual average inflation
DZ,Inflation,Headline Consumer Price Inflation,7.23,9.96,Annual average inflation
EC,Inflation,Headline Consumer Price Inflation,0.13,3.47,Annual average inflation
