country,,IQ,education_expenditure
1,CN,106,1283
2,JP,106,1340
3,SG,106,1428
4,TW,106,
5,CN,104,183
6,KR,103,1024
7,NL,101,2386
8,FI,101,2725
9,CA,100,2052
10,KP,100,
11,LU,100,3665
12,CN,100,1448
13,DE,100,1883
14,CH,100,3550
15,EE,100,749
16,AU,99,2343
17,GB,99,2076
18,GL,99,4518
19,IS,99,3812
20,AT,99,2341
21,HU,99,585
22,NZ,99,2083
23,BE,98,2507
24,NO,98,5436
25,SE,98,3419
26,DK,98,4133
27,KH,97,16
28,FR,97,2042
29,US,97,2608
30,PL,96,545
31,CZ,96,712
32,RU,96,338
33,ES,95,1176
34,IE,95,2500
35,IT,95,1380
36,HR,95,505
37,LT,95,550
38,IL,93,1811
39,MN,93,153
40,PT,93,1005
41,BM,92,1748
42,BG,91,224
43,GR,91,781
44,UA,91,143
45,VN,91,76
46,KZ,89,225
47,MY,89,450
48,MM,89,14
49,TH,89,182
50,RS,89,208
51,BN,88,1020
52,CL,88,482
53,CR,88,487
54,IQ,88,193
55,RO,88,249
56,AR,87,454
57,MU,87,310
58,MX,87,437
59,TR,87,334
60,GE,86,84
61,LK,85,55
62,ME,85,
63,CU,84,395
64,BR,83,427
65,PH,83,67
66,CO,83,231
67,LA,83,32
68,VE,83,273
69,AL,82,118
70,AE,82,805
71,DO,82,158
72,PR,82,1174
73,AF,81,15
74,IR,81,176
75,PK,81,27
76,ID,80,79
77,KW,80,1990
78,OM,80,798
79,QA,80,2331
80,BO,79,156
81,EC,79,199
82,EG,78,92
83,DZ,77,253
84,IN,77,47
85,SA,77,1265
86,SD,77,25
87,SY,76,252
88,BD,75,20
89,TD,75,16
90,TL,74,54
91,KE,74,62
92,ZW,74,50
93,SV,72,113
94,MA,71,144
95,ZA,69,336
96,NE,69,15
97,SO,69,1
98,NG,68,
99,ET,67,21
100,CM,67,36
101,CG,64,7
102,GH,61,76
103,CI,61,69
104,GQ,56,
105,GM,55,14
106,GT,55,92
107,SL,52,16
108,NP,51,22
