country,educationRankingsByCountry_rank2021,educationRankingsByCountry_rank2020,LiteracyRateAllGenders
IN,32,34,74
CN,22,24,97
US,1,1,
ID,54,55,96
PK,,,58
NG,,,62
BR,36,30,94
BD,,,75
RU,23,21,100
ET,,,52
MX,37,36,95
JP,7,11,
PH,55,52,96
EG,39,42,75
CD,,,81
VN,59,64,96
IR,,,89
TR,31,31,97
DE,3,4,
TH,46,48,94
TZ,,,82
GB,2,2,
FR,5,5,
ZA,33,32,90
IT,14,16,99
KE,68,68,83
MM,76,71,89
CO,51,49,96
KR,19,22,
UG,,,81
SD,,,61
ES,17,18,99
IQ,77,,
DZ,,,81
AR,34,29,99
AF,,,37
PL,26,23,100
CA,4,3,
MA,57,57,77
UA,40,38,100
AO,,,72
SA,35,46,98
UZ,72,,100
YE,,,70
MZ,,,63
GH,,,80
PE,64,59,94
MY,38,39,95
NP,,,71
MG,,,77
CI,,,90
VE,,,98
CM,,,78
NE,,,38
AU,8,7,
SY,,,86
ML,,,31
TW,,,99
BF,,,34
LK,66,67,
MW,,,68
ZM,,,88
KZ,71,70,100
CL,48,35,97
RO,47,40,99
TD,,,27
SO,,,41
EC,73,65,94
GT,78,73,84
SN,,,58
NL,10,9,
KH,75,,84
ZW,,,90
GN,,,45
RW,,,76
BJ,,,47
BI,,,76
BO,,,94
TN,67,63,84
HT,,,62
BE,18,,
DO,69,60,95
JO,58,53,98
SS,,,35
CU,,,100
HN,,,89
SE,9,8,
PG,,,64
CZ,,,99
AZ,65,61,100
TJ,,,100
GR,28,26,98
PT,25,20,97
HU,30,,99
AE,27,28,98
BY,52,51,100
IL,24,25,92
TG,,,67
SL,,,49
AT,16,13,
CH,6,6,
LA,,,88
NI,,,83
RS,63,58,99
LY,,,91
PY,,,95
KG,,,100
BG,49,43,98
TM,,,99
SV,74,,90
CG,,,81
SG,21,19,97
DK,12,10,
CF,,,37
SK,45,44,
FI,15,15,
LR,,,48
NO,13,12,
NZ,11,14,
CR,61,54,98
LB,70,69,95
IE,20,,
MR,,,67
OM,62,62,97
PA,60,56,96
KW,,,96
HR,43,33,99
ER,,,77
GE,,,100
MN,,,99
UY,56,,99
MD,,,100
PR,,,92
BA,,,98
GM,,,59
AL,,,99
JM,,,89
AM,,,100
QA,41,37,94
BW,,,89
LT,42,45,100
NA,,,92
GA,,,86
LS,,,82
GW,,,54
SI,53,41,100
MK,,,98
LV,50,50,100
GQ,,,95
TT,,,98
BH,,,98
TL,,,70
EE,44,47,100
MU,,,92
CY,,,99
SZ,,,89
FJ,,,99
KM,,,62
GY,,,90
BT,,,72
SB,,,77
SR,,,95
ME,,,99
CV,,,91
MT,,,95
MV,,,98
BN,,,98
BZ,,,81
VU,,,89
NC,,,97
BB,,,100
ST,,,94
WS,,,99
GU,,,100
GD,,,99
TO,,,99
SC,,,96
AW,,,98
VC,,,97
AG,,,99
AD,,,100
KY,,,99
GL,,,100
AS,,,97
MH,,,98
SM,,,100
PW,,,97
