country,genderEqualityByCountry_gendEqal2021,genderEqualityByCountry_econ,genderEqualityByCountry_education,genderEqualityByCountry_health,genderEqualityByCountry_polit
IN,0.625,0.326,0.962,0.937,0.276
CN,0.682,0.701,0.973,0.935,0.118
US,0.763,0.754,1,0.97,0.329
ID,0.688,0.647,0.97,0.971,0.164
PK,0.556,0.316,0.811,0.944,0.154
NG,0.627,0.687,0.806,0.967,0.047
BR,0.695,0.665,1,0.98,0.138
BD,0.719,0.418,0.951,0.962,0.546
RU,0.708,0.767,1,0.98,0.085
ET,0.691,0.56,0.85,0.971,0.382
MX,0.757,0.59,0.997,0.975,0.468
JP,0.656,0.604,0.983,0.973,0.061
PH,0.784,0.795,0.999,0.979,0.362
EG,0.639,0.421,0.973,0.968,0.196
CD,0.576,0.571,0.658,0.976,0.099
VN,0.701,0.765,0.982,0.945,0.113
IR,0.582,0.375,0.953,0.963,0.036
TR,0.638,0.486,0.975,0.967,0.123
DE,0.796,0.706,0.997,0.972,0.509
TH,0.71,0.787,0.992,0.978,0.084
TZ,0.707,0.703,0.921,0.97,0.235
GB,0.775,0.716,0.999,0.966,0.419
FR,0.784,0.71,1,0.97,0.457
ZA,0.781,0.658,0.994,0.979,0.493
IT,0.721,0.609,0.997,0.965,0.313
KE,0.692,0.672,0.929,0.975,0.193
MM,0.681,0.657,0.975,0.98,0.113
CO,0.725,0.708,1,0.975,0.216
KR,0.687,0.586,0.973,0.976,0.214
UG,0.717,0.692,0.898,0.98,0.296
ES,0.788,0.699,0.998,0.965,0.491
IQ,0.535,0.228,0.807,0.968,0.136
DZ,0.633,0.456,0.966,0.958,0.151
AR,0.752,0.639,1,0.977,0.39
AF,0.444,0.18,0.514,0.952,0.132
PL,0.713,0.705,0.996,0.98,0.171
CA,0.772,0.741,1,0.968,0.381
MA,0.612,0.407,0.956,0.961,0.126
UA,0.714,0.732,1,0.978,0.147
AO,0.657,0.646,0.759,0.976,0.245
SA,0.603,0.39,0.98,0.964,0.077
YE,0.492,0.282,0.717,0.968,0.001
MZ,0.758,0.655,0.904,0.98,0.494
GH,0.666,0.598,0.951,0.978,0.135
PE,0.721,0.629,0.981,0.964,0.31
MY,0.676,0.638,0.994,0.972,0.102
NP,0.683,0.63,0.895,0.965,0.241
MG,0.725,0.754,0.982,0.965,0.2
CI,0.637,0.664,0.828,0.979,0.076
VE,0.699,0.617,0.998,0.98,0.199
CM,0.692,0.706,0.885,0.973,0.202
NE,0.629,0.673,0.726,0.964,0.155
AU,0.731,0.7,1,0.968,0.258
SY,0.568,0.285,0.953,0.965,0.067
ML,0.591,0.475,0.757,0.959,0.172
BF,0.651,0.689,0.873,0.978,0.066
LK,0.67,0.547,0.988,0.98,0.167
MW,0.671,0.624,0.915,0.98,0.164
ZM,0.726,0.804,0.938,0.98,0.18
KZ,0.71,0.728,0.995,0.975,0.141
CL,0.716,0.61,1,0.97,0.283
RO,0.7,0.723,0.997,0.98,0.1
TD,0.593,0.693,0.589,0.97,0.118
EC,0.739,0.675,0.997,0.968,0.318
GT,0.655,0.56,0.969,0.979,0.112
SN,0.684,0.554,0.888,0.967,0.327
NL,0.762,0.713,1,0.962,0.375
KH,0.684,0.729,0.919,0.978,0.111
ZW,0.732,0.763,0.977,0.98,0.21
GN,0.66,0.839,0.68,0.966,0.157
RW,0.805,0.726,0.957,0.974,0.563
BJ,0.653,0.814,0.733,0.973,0.093
BI,0.769,0.855,0.896,0.979,0.345
BO,0.722,0.595,0.981,0.962,0.352
TN,0.649,0.445,0.97,0.969,0.212
BE,0.789,0.709,1,0.968,0.48
DO,0.699,0.646,1,0.98,0.172
JO,0.638,0.538,0.991,0.957,0.066
CU,0.746,0.63,0.998,0.973,0.382
HN,0.716,0.721,1,0.964,0.179
SE,0.823,0.81,0.996,0.962,0.522
PG,0.635,0.684,0.895,0.959,0
CZ,0.711,0.662,1,0.978,0.203
AZ,0.688,0.748,0.996,0.939,0.069
TJ,0.65,0.574,0.942,0.969,0.112
GR,0.689,0.672,0.994,0.966,0.123
PT,0.775,0.746,0.992,0.972,0.39
HU,0.688,0.669,0.993,0.98,0.112
AE,0.716,0.51,0.987,0.963,0.403
BY,0.758,0.84,0.999,0.977,0.216
IL,0.724,0.705,1,0.964,0.227
TG,0.683,0.787,0.782,0.979,0.185
SL,0.655,0.713,0.86,0.966,0.083
AT,0.777,0.665,1,0.97,0.473
CH,0.798,0.743,0.992,0.964,0.494
LA,0.75,0.915,0.965,0.975,0.146
NI,0.796,0.598,1,0.978,0.606
RS,0.78,0.716,0.998,0.969,0.437
PY,0.702,0.672,0.998,0.974,0.164
KG,0.681,0.646,0.99,0.98,0.108
BG,0.746,0.738,0.991,0.979,0.275
SV,0.738,0.634,0.992,0.98,0.347
SG,0.727,0.749,0.99,0.963,0.208
DK,0.768,0.736,1,0.964,0.371
SK,0.712,0.682,1,0.98,0.184
FI,0.861,0.806,1,0.97,0.669
LR,0.693,0.717,0.839,0.962,0.255
NO,0.849,0.792,1,0.964,0.64
NZ,0.84,0.763,1,0.966,0.63
CR,0.786,0.624,1,0.973,0.545
LB,0.638,0.487,0.964,0.97,0.129
IE,0.8,0.733,0.998,0.964,0.504
MR,0.606,0.44,0.879,0.957,0.147
OM,0.608,0.453,0.977,0.961,0.041
PA,0.737,0.731,0.994,0.973,0.252
KW,0.621,0.498,0.997,0.968,0.022
HR,0.733,0.666,0.995,0.978,0.294
GE,0.732,0.705,1,0.977,0.245
MN,0.716,0.769,0.993,0.98,0.122
UY,0.702,0.69,1,0.98,0.14
MD,0.768,0.811,0.996,0.98,0.286
GM,0.644,0.607,0.891,0.968,0.112
AL,0.77,0.748,0.999,0.956,0.377
JM,0.741,0.768,1,0.968,0.23
AM,0.673,0.655,0.998,0.95,0.091
QA,0.624,0.504,0.99,0.948,0.053
BW,0.716,0.799,1,0.98,0.084
LT,0.804,0.808,0.998,0.98,0.429
NA,0.809,0.794,1,0.98,0.463
LS,0.698,0.647,1,0.98,0.165
SI,0.741,0.803,1,0.977,0.184
MK,0.715,0.647,0.977,0.97,0.267
LV,0.778,0.822,1,0.976,0.313
BH,0.632,0.518,0.985,0.959,0.066
EE,0.733,0.754,1,0.975,0.201
MU,0.679,0.6,0.992,0.98,0.144
CY,0.707,0.694,0.998,0.96,0.177
SZ,0.729,0.797,0.992,0.98,0.147
FJ,0.674,0.568,0.997,0.972,0.16
GY,0.728,0.638,0.984,0.98,0.31
BT,0.639,0.556,0.954,0.963,0.082
LU,0.726,0.691,1,0.965,0.247
SR,0.729,0.703,0.993,0.969,0.252
ME,0.732,0.748,0.998,0.97,0.212
CV,0.716,0.761,0.972,0.98,0.152
MT,0.703,0.656,1,0.965,0.192
MV,0.642,0.491,1,0.955,0.121
BN,0.678,0.722,0.992,0.965,0.031
