country,MostFeministCountriesInsiderMonkey,MostFeministCountriesUSNewsRanking
IN,,74
CN,,28
US,,19
ID,,52
BR,,36
BD,,81
RU,,48
MX,,50
JP,,20
PH,,51
EG,,57
VN,,69
IR,,85
TR,,58
DE,2.1,10
TH,,45
GB,2.47,13
FR,1.76,16
ZA,,60
IT,,18
KE,,75
MM,,77
CO,,64
KR,,31
ES,2.33,17
DZ,,70
AR,,37
PL,,22
CA,2.66,6
MA,,61
UA,,40
SA,,42
UZ,,84
GH,,71
PE,,55
MY,,47
CM,,72
AU,2.37,9
LK,,67
KZ,,87
CL,,56
RO,,33
EC,,66
GT,,86
NL,2.73,4
KH,,82
ZW,,76
TN,,65
BE,2,14
DO,,62
JO,,49
HN,,79
SE,3.66,1
CZ,,27
AZ,,83
GR,,24
PT,,21
HU,,29
AE,,25
BY,,68
IL,,59
AT,1.83,11
CH,1.93,7
RS,,63
BG,,41
SV,,80
SG,,23
DK,2.74,3
SK,,39
FI,2.63,5
NO,2.91,2
NZ,3.37,8
CR,,44
LB,,73
IE,1.5,15
OM,,78
PA,,53
HR,,30
UY,,54
QA,,26
LT,1.56,38
SI,,34
LV,1.3,35
BH,,46
EE,,32
CY,,43
LU,1.27,12
IS,2.07,
