country,mostRacistCountries_noNeighbours,mostRacistCountries_witnessedRacism,mostRacistCountries_racialEquityRankings
IN,43.6,64.3,66
CN,,,57
US,,,73
ID,,,37
PK,14.5,48.8,
NG,21,42.5,
BR,,,20
BD,,,75
RU,17,38.5,80
MX,,,27
JP,22.3,29.7,40
PH,30.6,49.1,61
EG,,39.7,45
VN,,,65
IR,,,84
TR,33.8,19.1,55
DE,,65,18
TH,39.8,19,39
GB,,,16
FR,,29,15
ZA,19.6,61.8,23
IT,,33,17
KE,,,32
MM,,,82
CO,,,54
KR,29.6,36.5,60
ES,,24,21
IQ,27.7,37.8,
DZ,19.8,41,59
AR,,,22
PL,,19,25
CA,,,2
MA,13.8,35.6,38
UA,,,49
SA,,,85
UZ,,,71
YE,34,31.2,
GH,,,33
PE,,,43
MY,31.3,34.4,48
CM,,,30
AU,,,12
LK,,,78
KZ,,,68
CL,,,51
RO,,,50
EC,34.5,32,56
GT,,,76
NL,,,3
KH,,,58
ZW,,,47
TN,,,31
BE,,44,8
DO,,,36
JO,,,44
HN,,,67
SE,,21,4
CZ,,,63
AZ,,,64
GR,,,24
PT,,17,13
HU,,,34
AE,,,81
BY,,,77
IL,,,83
AT,,67,11
CH,,,6
HK,18.8,40.4,
RS,,,87
LY,54,33.5,
KG,28.1,35.9,
BG,,,29
SV,,,79
SG,,,19
DK,,47,7
SK,,,46
FI,,57,9
NO,,,5
PS,44,32,
NZ,,,1
CR,,,28
LB,36.3,64.4,72
IE,,44,10
OM,,,35
PA,,,52
KW,28.1,37.9,
HR,,,62
UY,,,74
QA,,,86
LT,,,41
SI,,,26
LV,,,53
BH,31.1,85.7,70
EE,,,42
CY,26.7,26.1,69
LU,,44,14
