country,depressionRatesByCountry_prevalence,depressionRatesByCountry_cases
IN,4.5,56675969
CN,4.2,54815739
US,5.9,17491047
ID,3.7,9162886
PK,4.2,7436224
NG,3.9,7079815
BR,5.8,11548577
BD,4.1,6391760
RU,5.5,7815714
ET,4.7,4480113
MX,4.2,4936614
JP,4.2,5058124
PH,3.3,3298652
EG,3.5,2995824
CD,3.8,2871309
VN,4,3564934
IR,4.9,3637308
TR,4.4,3260677
DE,5.2,2116728
TH,4.4,2885221
TZ,4.1,2138939
GB,4.5,2692081
FR,4.8,2949572
ZA,4.6,2402230
IT,5.1,3049986
KE,4.4,1952981
MM,3.7,1917983
CO,4.7,2177280
KR,4.1,1904645
UG,4.6,1747769
SD,3.6,1376305
ES,5.2,2408700
IQ,3.7,1263249
DZ,4.5,1683914
AR,4.7,1914354
AF,3.3,1038610
PL,5.1,1878988
CA,4.7,1566903
MA,4.5,1484441
UA,6.3,2800587
AO,3.6,892128
SA,4.5,1339976
UZ,4.2,1186450
YE,3.6,915231
MZ,4.1,1122987
GH,4.2,110048
PE,4.8,1443513
MY,3.8,1127643
NP,3.2,890361
MG,4.4,1041000
CI,3.8,843736
VE,4.2,1270099
CM,3.9,886273
NE,3.4,653348
AU,5.9,1318599
KP,3.7,874632
SY,3.9,688074
ML,3.6,605969
BF,3.6,640502
LK,4.1,802321
MW,4.1,679385
ZM,4,636819
KZ,4.4,732699
CL,5,844253
RO,5,931842
TD,3.5,478228
SO,4,420387
EC,4.6,721971
GT,3.7,580994
SN,3.9,560991
NL,4.7,752777
KH,3.4,508823
ZW,4,603529
GN,3.9,474541
RW,3.8,425516
BJ,3.9,411695
BI,4.2,448822
BO,4.4,453716
TN,4.9,518432
HT,4.3,437639
BE,4.8,502075
DO,4.7,464164
JO,4,287844
SS,4.4,529011
CU,5.5,605879
HN,4,308862
SE,4.9,446734
PG,3,223094
CZ,5.2,525488
AZ,4.6,428873
TJ,3.8,304018
GR,5.7,593136
PT,5.7,578234
HU,5.1,493783
AE,5.1,444016
BY,5.6,510764
IL,4.6,342181
TG,3.9,277532
SL,3.9,243895
AT,5.1,415916
CH,5,388870
LA,3.2,209326
NI,4.2,238161
RS,5,419302
LY,4.5,265833
PY,5.2,332628
KG,4.1,229637
BG,5.2,360724
TM,4.2,214010
SV,4.4,255032
SG,4.6,162203
DK,5,267213
CF,4.2,202081
SK,5.1,268516
FI,5.6,293921
LR,3.5,155406
NO,4.7,227446
NZ,5.4,221338
CR,4.7,216608
LB,4.7,255280
IE,4.8,212555
MR,4.1,160624
OM,4.7,199961
PA,4.4,162293
KW,5,181756
HR,5.1,205541
ER,4.3,219549
GE,5,189241
MN,4.2,117436
UY,5,158005
MD,5.4,207247
BA,5.1,185557
GM,3.9,74821
AL,4.8,131048
JM,4.8,134054
AM,5,142712
QA,5.1,105684
BW,4.7,102065
LT,5.6,169685
NA,4.4,104001
GA,4.3,7303
LS,4.8,98988
GW,4,71467
SI,5.1,99864
LV,4.9,102702
GQ,4.2,34909
TT,5.2,67614
BH,4.8,62549
TL,3,33932
EE,5.9,75667
MU,4.4,52570
CY,5.1,42662
SZ,4.2,53223
DJ,5.1,43909
FJ,3.5,30568
KM,4.4,33769
GY,4.5,33700
BT,4.2,30947
SB,2.9,16535
LU,5,26350
SR,4.8,24914
ME,4.8,28627
CV,4.9,24240
MT,5.1,20049
MV,3.7,12739
BZ,4.4,14956
BS,5.2,19138
IS,4.1,12533
VU,3.1,7917
BB,5.4,14586
ST,3.9,7270
WS,3.2,5803
LC,4.9,8892
KI,3.1,3452
GD,4.7,4848
FM,3.1,3182
TO,3.2,3205
SC,4,3722
VC,4.9,5144
AG,5.1,4424
