country,CountriesWithTheMostHolidaysNumberOfPublicHolidays
IN,21
CN,11
US,11
ID,16
PK,16
BR,9
BD,22
RU,11
MX,8
JP,16
PH,18
EG,22
VN,11
IR,26
TR,14
DE,10
TH,16
TZ,16
GB,8
FR,11
ZA,12
IT,12
MM,32
CO,18
KR,14
ES,12
AR,19
PL,13
CA,10
UA,11
PE,14
MY,21
NP,39
VE,14
AU,10
TW,12
LK,25
KZ,16
CL,14
RO,15
EC,8
NL,11
KH,21
RW,14
BE,10
DO,12
SE,12
CZ,13
GR,12
PT,13
HU,12
IL,11
AT,14
CH,9
HK,17
RS,13
BG,12
SG,11
DK,14
SK,15
FI,13
NO,14
NZ,12
LB,19
IE,10
HR,14
MN,14
UY,12
AL,15
LT,15
SI,14
LV,13
TT,15
EE,10
CY,14
FJ,10
LU,11
MT,14
IS,16
BB,12
LI,20
