country,averageWorkWeekByCountry_hpe,averageWorkWeekByCountry_hpeDataYear,averageWorkWeekByCountry_hpee,averageWorkWeekByCountry_hpeeDataYear
US,,,37,2021
ID,39,2021,39,2021
PK,,,49,2021
NG,38,2019,,
BR,39,2021,39,2021
BD,49,2017,51,2017
RU,39,2020,36,2020
ET,,,42,2021
MX,45,2021,44,2021
JP,39,2015,37,2020
PH,,,36,2020
EG,53,2015,40,2020
CD,,,42,2012
IR,46,2020,43,2020
TR,45,2021,44,2021
DE,35,2015,34,2021
TH,44,2019,42,2020
TZ,45,2020,54,2020
GB,37,2015,33,2020
FR,,,35,2021
ZA,42,2021,,
IT,37,2015,35,2021
KE,48,2019,47,2019
MM,47,2020,45,2020
CO,44,2021,46,2021
KR,44,2015,38,2021
UG,39,2017,46,2017
ES,38,2015,35,2021
IQ,42,2021,30,2021
DZ,42,2014,,
AR,,,34,2021
AF,43,2021,39,2021
PL,38,2015,39,2021
CA,36,2021,,
UA,39,2015,40,2019
SA,43,2020,,
YE,43,2014,44,2010
MZ,42,2015,44,2015
GH,34,2015,41,2017
PE,45,2015,,
MY,45,2015,44,2020
NP,44,2017,,
MG,36,2015,42,2015
CI,,,40,2019
VE,39,2017,39,2020
NE,36,2014,40,2017
AU,29,2020,32,2020
ML,37,2014,47,2020
BF,50,2018,,
LK,46,2019,44,2019
MW,34,2013,32,2013
ZM,42,2020,45,2020
KZ,31,2015,38,2017
CL,41,2021,38,2021
RO,40,2015,40,2021
TD,35,2018,,
SO,31,2019,,
EC,35,2021,38,2020
GT,44,2019,46,2016
SN,44,2018,51,2019
NL,,,30,2021
KH,46,2019,49,2019
ZW,40,2019,44,2019
RW,37,2020,31,2020
BJ,44,2018,,
BI,37,2020,,
BO,39,2021,40,2021
TN,46,2014,,
BE,,,34,2021
DO,42,2021,39,2021
JO,47,2020,48,2020
HN,38,2020,43,2020
SE,,,35,2021
AZ,,,34,2021
GR,39,2015,38,2021
PT,39,2015,38,2021
HU,40,2015,38,2021
BY,39,2020,35,2020
IL,41,2017,34,2020
TG,44,2017,,
SL,,,45,2018
AT,,,33,2021
CH,35,2015,36,2021
LA,42,2017,41,2017
HK,,,44,2016
NI,42,2014,,
RS,46,2021,39,2021
PY,41,2021,41,2021
KG,39,2020,37,2020
BG,,,39,2021
SV,,,45,2021
SG,44,2015,,
DK,,,34,2021
SK,40,2015,37,2021
FI,,,35,2021
LR,43,2016,49,2017
NO,34,2015,33,2021
PS,43,2015,38,2021
NZ,37,2014,,
CR,42,2021,42,2021
LB,48,2019,47,2019
IE,,,35,2021
MR,54,2017,,
PA,38,2014,40,2021
HR,40,2015,38,2021
GE,43,2020,43,2020
MN,48,2021,43,2021
UY,37,2021,44,2018
MD,38,2015,39,2021
BA,42,2021,42,2021
GM,51,2012,50,2018
AL,42,2019,43,2019
JM,44,2020,42,2014
AM,40,2020,39,2020
QA,50,2015,49,2014
BW,47,2020,46,2020
LT,38,2015,39,2021
NA,45,2018,,
LS,50,2019,,
GW,41,2018,,
SI,,,39,2021
MK,41,2021,38,2021
LV,,,39,2021
TL,40,2013,38,2016
EE,,,37,2021
MU,40,2019,38,2019
CY,,,38,2021
SZ,46,2016,48,2016
DJ,32,2017,,
KM,,,44,2014
GY,47,2019,43,2019
BT,,,48,2020
SB,,,42,2013
CN,46,2015,,
LU,37,2015,36,2021
ME,44,2020,43,2020
CV,40,2015,44,2019
MT,38,2015,37,2021
MV,,,48,2019
BN,44,2020,45,2020
BZ,42,2019,40,2020
IS,,,36,2021
VU,,,37,2019
WS,45,2017,45,2017
LC,40,2021,38,2021
FM,30,2014,39,2014
TO,36,2018,36,2018
SC,44,2016,40,2020
AW,,,40,2010
KY,41,2014,42,2015
MH,,,40,2019
PW,41,2014,43,2014
CK,,,37,2019
NR,,,40,2013
TV,,,38,2016
MS,39,2020,38,2020
