country,net_migration
AF,-183672
AL,-10612
DZ,-18797
AD,1377
AO,29089
AG,0
AR,2344
AM,-12825
AU,117929
AT,20314
AZ,1084
BH,-9150
BD,-174500
BB,-28
BY,12961
BE,52356
BZ,577
BJ,1732
BT,291
BO,-4666
BA,-25865
BW,1816
BR,20376
BN,-192
BG,-8716
BF,-13097
BI,-14415
CV,-1274
KH,-24262
CM,-9889
CA,195181
CF,-85860
TD,9016
CL,113709
CN,-200194
CO,211978
KM,-1772
CG,-4466
CR,2084
CI,-21000
HR,-10402
CU,-7068
CY,1995
CZ,3621
KP,-1589
CD,-64643
DK,22746
DJ,742
DM,57
DO,-14966
EC,35894
EG,-32370
SV,-27343
GQ,6486
ER,-14988
EE,2995
SZ,-4897
ET,-1391
FJ,-6003
FI,14928
FR,20614
GA,1516
GE,-2734
DE,312735
GH,-11253
GR,-14806
GD,-85
GT,-29118
GN,-4367
GW,-1395
GY,-4316
HT,-32977
HN,-5779
HU,19870
IS,622
IN,-301970
ID,-14992
IR,28080
IQ,-60097
IE,15320
IL,16856
IT,28021
JM,-5664
JP,87584
JO,14374
KZ,-18917
KE,-52549
KI,-296
KR,43440
KW,-36843
KG,-16510
LA,-10303
LV,-6815
LB,-115122
LS,-1490
LR,-11862
LY,-696
LI,231
LT,-11853
LU,6949
MG,-742
MW,-1775
MY,46165
MV,1189
ML,-22236
MT,10408
MH,-1901
MR,-1494
MU,-478
MX,-52649
FM,-635
MD,-14278
MC,206
MN,0
ME,-101
MA,-46242
MZ,-9515
MM,-35382
NA,-4301
NR,-66
NP,296541
NL,57439
NZ,38220
NI,-10384
NE,-4405
NG,-76364
MK,-486
NO,10604
OM,-20664
PK,-471395
PW,3
PA,5473
PG,10695
PY,-8230
PE,68012
PH,-80125
PL,-2968
PT,27295
QA,-30801
RO,-12724
RU,320617
RW,-6112
WS,-882
SM,41
ST,-792
SA,-153883
SN,-10091
RS,243
SC,146
SL,-1544
SG,19321
SK,1746
SI,4568
SB,-808
SO,-17071
ZA,10934
SS,-31885
ES,275022
LK,-92400
KN,-90
LC,0
VC,-379
SD,-15223
SR,-492
SE,80097
CH,23872
SY,212187
TJ,-3564
TZ,-4865
TH,1133
BS,485
GM,-1960
TL,-1997
TG,-995
TO,-948
TT,2632
TN,-9189
TR,-69729
TM,-4503
TV,-15
UG,43465
UA,831
AE,-2762
GB,202027
US,561580
UY,-1486
UZ,-39201
VU,-197
VE,-525116
VN,-992
PS,-12369
YE,-101468
ZM,9015
ZW,-25005
