country,easiestCountriesToImmigrateTo_overallRank,easiestCountriesToImmigrateTo_expatica,easiestCountriesToImmigrateTo_visaGuide,easiestCountriesToImmigrateTo_insiderMonkey,easiestCountriesToImmigrateTo_tripzilla,easiestCountriesToImmigrateTo_wowTravel
MX,3,yes,no,6,yes,8
DE,5,no,yes,,yes,2
TH,17,yes,yes,,no,
ES,16,no,yes,,yes,
AR,11,no,no,10,no,10
CA,1,no,yes,1,yes,3
AU,4,no,yes,,yes,1
EC,10,yes,no,9,no,
SE,18,no,no,2,no,
CZ,15,yes,yes,,no,
PT,14,no,yes,,yes,
PY,6,yes,yes,,no,4
SG,9,yes,no,,no,5
DK,20,no,no,7,no,
FI,12,no,no,,yes,12
NZ,2,no,yes,4,yes,6
IE,8,no,no,3,no,11
PA,7,yes,no,15,yes,
ME,13,yes,yes,,no,
MT,19,no,no,5,no,
