country,EstimatedIllegalImmigrantPopulationMaximum,EstimatedIllegalImmigrantPopulationMinimum,ISO2
India,10000000,1400000,IN
China,100000,10000,CN
United States,11400000,10900000,US
Brazil,700000,700000,BR
Bangladesh,1200000,500000,BD
Russia,12000000,10000000,Not Found
Philippines,100000,100000,PH
Germany,1000000,100000,DE
United Kingdom,950000,550000,GB
France,1200000,890000,FR
South Africa,1000000,500000,ZA
South Korea,210000,210000,Not Found
Canada,120000,35000,CA
Malaysia,800000,800000,MY
Venezuela,200000,200000,Not Found
Australia,100000,50000,AU
Switzerland,100000,100000,CH
Norway,56000,18000,NO
