country,Year,Disaster Type,Entry Criteria
CL,2021,Storm,Affected
ES,2021,Storm,SigDam
ID,2021,Earthquake,Kill
ID,2021,Flood,Kill
PY,2021,Flood,Affected
BO,2021,Flood,Kill
JP,2021,Storm,Kill
TW,2021,Storm,Kill
IN,2021,Glacial lake outburst,Kill
MZ,2021,Storm,Kill
MY,2021,Flood,Affected
AU,2021,Wildfire,Affected
BO,2021,Flood,Affected
CN,2021,Drought,SigDam
FJ,2021,Storm,Affected
ID,2021,Landslide,Affected
ID,2021,Flood,Affected
IR,2021,Earthquake,Affected
JP,2021,Earthquake,Affected
MA,2021,Flood,Kill
MG,2021,Storm,Kill
PH,2021,Flood,Affected
PY,2021,Flood,Affected
SY,2021,Flood,Affected
US,2021,Storm,Waiting
ZA,2021,Storm,Kill
ZW,2021,Storm,Kill
BR,2020,Storm,Kill
CH,2020,Storm,Kill
CO,2020,Storm,Kill
FJ,2020,Storm,Affected
GT,2020,Storm,Affected
PH,2020,Storm,Kill
PH,2020,Storm,Kill
SV,2020,Storm,Kill
PK,2020,Storm,Kill
BR,2020,Flood,Waiting
GT,2020,Flood,Affected
KZ,2020,Flood,Affected
PS,2020,Extreme temperature,Affected
IT,2020,Flood,Affected
PK,2020,Flood,Kill
AU,2020,Storm,SigDam
NI,2020,Storm,Affected
IT,2020,Storm,Affected
UG,2020,Storm,Waiting
SO,2020,Storm,Affected
TH,2020,Storm,Affected
AF,2020,Storm,Kill
BD,2020,Flood,Kill
BA,2020,Flood,Affected
BO,2020,Flood,Affected
BR,2020,Flood,Affected
BR,2020,Flood,Affected
BR,2020,Flood,Kill
BR,2020,Flood,Kill
CI,2020,Flood,Affected
CO,2020,Flood,Affected
CO,2020,Flood,Affected
GT,2020,Storm,Kill
GT,2020,Flood,Affected
HN,2020,Storm,Kill
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Affected
ID,2020,Flood,Kill
ID,2020,Flood,Kill
IN,2020,Flood,Affected
IN,2020,Flood,Kill
IT,2020,Flood,Waiting
IT,2020,Storm,Kill
JP,2020,Flood,Kill
KE,2020,Flood,Kill
KR,2020,Storm,Kill
KR,2020,Flood,Kill
MG,2020,Flood,Affected
MX,2020,Storm,Affected
