country,LifeExpectancyBothUN,LifeExpectancyMaleUN,LifeExpectancyFemaleUN,LifeExpectancyBothWB,LifeExpectancyMaleWB,LifeExpectancyFemaleWB
BO,68.78,66.2,71.46,64,62,68
IN,72.03,70.52,73.65,70,69,72
CN,78.79,76.18,81.51,78,75,81
US,79.74,77.27,82.23,77,75,80
ID,71.1,68.96,73.27,69,67,71
PK,67.34,65.08,69.74,66,64,69
NG,53.87,53.5,54.24,53,52,53
BR,76.18,73.07,79.26,74,71,77
BD,73.98,71.78,76.31,72,70,74
GB,76.54,73.8,79.41,76,73,79
ET,66.65,63.73,69.75,65,63,68
MX,75.04,71.76,78.36,70,66,74
JP,84.95,81.91,87.97,85,82,88
PH,72.3,70.3,74.32,72,70,74
EG,70.81,68.48,73.22,71,69,73
BN,74.54,72.49,76.78,75,73,77
CV,76.93,72.57,80.9,75,70,79
CW,76.82,72.88,80.42,78,75,82
CZ,73.71,71.1,76.3,78,75,81
DE,82.18,79.9,84.44,81,79,83
TH,79.91,75.75,84.08,79,75,84
CD,60.63,58.54,62.78,60,58,62
GB,82.31,80.61,83.97,81,79,83
FR,83.35,80.5,86.08,82,79,85
ZA,62.89,59.85,65.69,65,62,68
IT,84.2,82.15,86.13,82,80,85
KE,63.34,60.95,65.83,63,60,65
MM,67.46,64.38,70.69,67,64,70
CO,77.51,74.61,80.4,75,72,78
FK,79.46,77.58,81.44,,,
UG,63.84,61.67,65.92,63,61,65
SD,66.1,63.57,68.7,66,63,68
ES,84.05,81.35,86.68,82,80,85
IQ,72.05,69.92,74.03,69,67,71
DZ,77.33,76.05,78.67,74,73,76
AR,77.98,74.62,81.26,76,73,79
AF,64.23,61.2,67.44,63,60,65
PL,78.6,74.88,82.26,77,73,81
CA,83.02,81.07,84.94,82,80,84
MA,75.2,73.11,77.41,74,72,76
UA,73.02,67.74,78.08,71,66,76
AO,63.24,60.72,65.77,62,60,65
SA,78.1,76.87,79.73,76,75,78
UZ,71.78,69.12,74.43,70,68,73
YE,64.52,61.23,68.08,65,62,68
MZ,62.37,59.48,65.15,61,58,64
GH,64.53,62.37,66.72,64,62,66
PE,76.96,74.69,79.26,74,71,77
MY,76.42,74.11,78.96,76,74,78
NP,70.78,68.87,72.68,69,67,71
MG,66.43,64.13,68.84,65,63,68
IR,76.97,74.28,79.84,75,72,78
CI,60.11,58.86,61.46,59,58,60
CM,61.92,60.39,63.47,61,59,63
NE,62.93,61.65,64.25,61,60,62
AU,83.73,81.89,85.56,83,81,85
LA,69.27,67.19,71.46,68,67,71
CN,85.51,82.88,88.11,85,83,88
ML,60.03,58.7,61.41,59,57,60
BF,60.57,58.67,62.39,60,58,62
LK,76.8,73.06,80.39,76,73,80
MW,63.67,60.24,67.15,64,60,68
ZM,62.96,60.19,65.66,62,60,65
KZ,70.36,66.58,73.9,71,67,76
CL,81.16,78.84,83.41,79,77,82
RO,75.14,71.73,78.6,74,71,78
TD,53.68,52.01,55.41,53,51,54
SO,57.35,55.32,59.47,56,54,58
EC,78.08,75.51,80.65,72,69,76
GT,70.15,67.26,73.09,72,68,76
SN,69.31,66.71,71.75,68,66,70
NL,82.58,81.1,84.02,81,80,83
KH,71.46,69.09,73.75,70,68,73
ZW,61.92,59.18,64.32,61,58,64
GN,59.55,58.18,60.83,59,58,60
RW,67.35,65.02,69.49,67,64,69
BJ,60.45,58.77,62.16,60,59,61
BI,62.5,60.54,64.45,62,59,64
FM,71.32,67.72,75.18,71,67,75
TN,76.94,73.86,80.18,75,72,79
HT,64.75,61.81,67.82,64,61,67
BE,82.46,80.36,84.5,81,79,83
DO,74.36,71.24,77.72,73,69,77
JO,75.02,72.91,77.46,75,73,78
SS,56.51,54.99,57.97,55,54,57
CU,78.33,75.97,80.73,78,75,80
HN,73.47,71.03,76.02,71,69,74
SE,83.65,82.08,85.22,82,81,84
PG,66.12,63.51,69.34,66,63,69
MD,69.51,65.05,74.21,70,66,75
AZ,73.61,70.67,76.39,67,63,71
TJ,71.43,69.3,73.69,68,66,70
GR,82,79.58,84.44,81,79,84
PT,82.42,79.53,85.06,81,78,84
