country,Gallup2022NonReligious,Gallup2022Atheist,Gallup2017Combined,Pew2010Unaffiliated
IN,18,1,5,0.1
CN,,,90,52.2
US,28,7,39,16.4
ID,19,0,30,0.1
PK,4,0,6,0.1
NG,20,0,2,0.4
BR,,,17,7.9
BD,,,19,0.1
RU,8,10,30,16.2
ET,6,0,,0.1
MX,19,6,36,4.7
JP,42,30,60,57
PH,27,1,9,0.1
EG,,,,0.1
CD,,,17,1.8
VN,65,9,63,29.6
IR,,,20,0.1
TR,,,12,1.2
DE,38,20,60,24.7
TH,65,4,2,0.3
TZ,,,,1.4
GB,49,17,69,21.3
FR,35,32,50,28
ZA,,,,14.9
IT,21,11,26,12.4
KE,2,1,,2.5
MM,,,,0.5
KR,27,34,60,46.4
UG,,,,0.5
SD,,,,1
ES,39,19,57,19
IQ,13,1,34,0.1
DZ,,,,1.8
AR,23,9,34,12.2
AF,,,,0.1
PL,29,13,10,5.6
CA,43,10,57,23.7
MA,,,,0.1
UA,,,42,14.7
AO,,,,5.1
SA,,,,0.7
UZ,,,,0.8
YE,,,,0.1
MZ,,,,17.9
GH,11,1,1,4.2
PE,19,2,23,3
MY,,,,0.7
NP,,,,0.3
MG,,,,6.9
CI,13,2,,8
VE,,,,10
CM,12,5,,5.3
NE,,,,0.7
AU,,,63,24.2
KP,,,,71.3
SY,30,1,,2
ML,,,,2.7
TW,,,,12.7
BF,,,,0.4
LK,,,,0.1
MW,,,,2.5
ZM,,,,0.5
KZ,14,5,,4.2
CL,,,,8.6
RO,13,6,9,0.1
TD,,,,2.5
SO,,,,0.1
EC,18,3,18,5.5
GT,,,,4.1
SN,3,0,,0.1
NL,41,19,,42.1
KH,,,,0.2
ZW,,,,7.9
GN,,,,1.8
RW,,,,3.6
BJ,,,,5
BI,,,,0.1
BO,28,4,,4.1
TN,,,,0.2
HT,,,,10.6
BE,33,27,29,29
DO,,,,10.9
JO,22,0,,0.1
SS,,,,0.5
CU,,,,23
HN,,,,10.5
SE,46,26,73,27
PG,,,5,0.1
CZ,41,30,72,76.4
AZ,,,64,0.1
TJ,,,,1.5
GR,21,12,22,6.1
PT,29,16,38,4.4
HU,34,13,,18.6
AE,45,0,,1.1
BY,,,,28.6
IL,,,58,3.1
TG,,,,6.2
SL,13,0,,0.1
AT,38,13,53,13.5
CH,36,19,,11.9
LA,,,,0.9
HK,25,47,,56.1
NI,,,,12.5
RS,17,3,21,3.3
LY,25,0,,0.2
PY,,,,1.1
KG,,,,0.4
BG,29,9,39,4.2
TM,,,,0.5
SV,,,,11
CG,,,,9
SG,,,,16.4
DK,,,61,11.8
CF,,,,1
SK,11,19,,14.3
FI,,,55,17.6
LR,,,,1.4
NO,,,62,10.1
PS,18,0,35,0.1
NZ,,,,36.6
CR,,,,7.9
LB,,,28,0.3
IE,42,13,56,6.2
MR,,,,0.1
OM,,,,0.2
PA,,,13,4.8
KW,,,,0.1
HR,25,18,,5.1
ER,,,,0.1
GE,8,0,,0.7
MN,,,29,35.9
UY,,,,40.7
MD,10,4,,1.4
PR,,,,1.9
BA,19,5,22,2.5
GM,,,,0.1
AL,,,39,1.4
JM,,,,17.2
AM,7,2,6,1.3
QA,,,,0.9
BW,,,,20.6
NA,,,,1.9
GA,,,,5.6
SI,24,31,53,18
MK,8,2,11,1.4
LV,,,52,43.8
GQ,,,,5
TT,,,,1.9
BH,,,,1.9
TL,,,,0.1
EE,,,60,59.6
MU,,,,0.6
CY,,,,1.2
SZ,,,,10.1
DJ,,,,0.2
FR,,,,2
FJ,,,8,0.8
KM,,,,0.1
GY,,,,2
BT,,,,0.1
SB,,,,0.2
CN,,,,15.4
LU,39,19,,26.8
SR,,,,5.4
ME,,,,3.2
CV,,,,9.1
EH,,,,0.4
MT,,,,2.5
MV,,,,0.1
BN,,,,0.4
BZ,,,,8.9
BS,,,,3.1
GP,,,,2.5
IS,,,49,3.5
MQ,,,,2.3
YT,,,,0.2
VU,,,,1.2
GF,,,,3.4
PF,,,,4.9
NC,,,,10.4
BB,,,,1.9
ST,,,,12.6
WS,,,,2.5
LC,,,,6
GU,,,,1.7
KI,,,,0.8
GD,,,,1
FM,,,,0.9
TO,,,,0.1
SC,,,,2.1
AW,,,,6
VC,,,,2.5
US,,,,3.7
AG,,,,1.7
IM,,,,15.2
AD,,,,8.8
DM,,,,0.5
KY,,,,9.4
BM,,,,19.4
GL,,,,2.5
FO,,,,1.7
MP,,,,1
KN,,,,1.6
AS,,,,0.7
MH,,,,1.5
MC,,,,11.7
SM,,,,7.2
GI,,,,2.9
GB,,,,3.9
PW,,,,1.2
CK,,,,3.2
AI,,,,4
NR,,,,4.5
TV,,,,1.3
WF,,,,0.6
PM,,,,3.8
MS,,,,4.8
FK,,,,31.5
NU,,,,3.3
TK,,,,0.1
VA,,,,0.1
