country,leastVisitedCountries_unwto2019,leastVisitedCountries_unwto2020,leastVisitedCountries_overnightOnly,leastVisitedCountries_overnightOnly2020
IN,17914000,6337000,no,no
CN,162538000,30402000,no,no
US,165478000,45037000,no,no
ID,16107000,4053000,no,no
BR,6353000,2146000,no,no
BD,323000,168000,yes,no
RU,24419000,6359000,no,no
ET,812000,518000,yes,no
MX,97406000,51128000,no,no
JP,31881000,4115800,no,no
PH,8261000,1483000,yes,no
EG,13026000,3677000,no,no
VN,18009000,3837000,no,no
IR,9107000,1550000,no,no
TR,51747000,15971000,no,no
DE,39563000,12449000,yes,no
TH,39916000,6702000,yes,no
TZ,1527000,621000,no,no
GB,40857000,11101000,no,no
FR,217877000,117109000,no,no
ZA,14797000,3886600,no,no
IT,95399000,38419000,no,no
KE,2049000,568000,no,no
MM,4364000,903000,yes,no
CO,4351000,1396000,no,no
KR,17503000,2519000,no,no
UG,1543000,473000,yes,no
ES,126170000,36410000,no,no
DZ,2371000,591000,no,no
AR,11131000,3096000,no,no
PL,88515000,51076000,no,no
CA,32430000,5068000,no,no
MA,13109000,2802000,no,no
UA,13710000,3382000,no,no
AO,218000,64000,no,no
SA,20292000,4882000,no,no
UZ,6749000,1504000,no,no
MZ,2033000,959000,no,no
PE,5275000,1119000,no,no
MY,35046000,6102000,no,no
NP,1197000,230000,yes,no
MG,486000,87100,no,no
CI,2070000,668000,no,no
CM,1021000,,no,no
NE,192000,85000,yes,no
AU,9466000,1828000,no,no
SY,2424000,479000,no,no
ML,217000,75000,yes,no
TW,11864000,1378000,no,no
BF,143000,67000,yes,no
LK,2027000,540000,no,no
ZM,1266000,502000,no,no
KZ,8515000,2035000,no,no
CL,5431000,1311000,no,no
RO,12815000,5023000,no,no
TD,81000,10000,yes,no
EC,2108000,507000,no,no
GT,2560000,594000,no,no
NL,20129000,7265000,yes,no
KH,6611000,1306000,yes,no
ZW,2294000,639000,no,no
RW,1634000,,no,no
BJ,337000,354000,no,no
BO,1239000,323000,yes,no
TN,9429000,2012000,yes,no
HT,938000,322000,no,no
BE,9343000,2584000,yes,no
DO,7550000,2748000,no,no
JO,5361000,1240000,no,no
CU,4276000,1086000,no,no
HN,2315000,669000,no,no
SE,7616000,1957000,no,no
PG,211000,39000,no,no
AZ,3170000,796000,no,no
TJ,1257000,351000,no,no
GR,34005000,7406000,no,no
PT,17283000,4208000,yes,no
HU,61397000,31641000,no,no
AE,25282000,8084000,no,no
BY,11832000,3598000,no,no
IL,4905000,887000,no,no
TG,876000,482000,yes,no
SL,71000,26000,no,no
AT,31884000,15091000,yes,no
CH,11818000,3690000,yes,no
LA,4791000,886400,no,no
HK,55913000,3569000,no,no
NI,1455000,474000,no,no
RS,1847000,446000,yes,no
PY,4368000,1077000,no,no
KG,8508000,2079000,no,no
BG,12552000,4973000,no,no
SV,2639000,707000,no,no
SG,19116000,2742000,no,no
DK,33093000,15595000,no,no
CF,87000,,yes,no
SK,16086000,,no,no
FI,3290000,896000,no,no
NO,5879000,1397000,yes,no
PS,3810000,93000,no,yes
NZ,3888000,996000,no,no
CR,3366000,1147000,no,no
LB,1936000,414000,yes,no
IE,10951000,,yes,no
OM,3506000,869000,no,no
PA,2494000,647000,no,no
KW,8565000,2161000,no,no
HR,60021000,21608000,no,no
GE,7726000,1513000,no,no
MN,637000,67000,no,no
UY,3480000,,no,no
MD,174000,29000,no,no
PR,4931000,3882000,no,no
BA,1198000,197000,yes,no
GM,640000,246000,no,no
AL,6406000,2658000,no,no
JM,4233000,1329700,no,no
AM,1894000,375000,yes,no
QA,2137000,582000,no,no
LT,6150000,2284000,no,no
NA,1651000,187100,no,no
LS,1142000,,no,no
GW,52000,,no,no
SI,4702000,1216000,yes,no
MK,756000,118000,yes,no
LV,8342000,3204000,no,no
TT,480000,141000,no,no
BH,11061000,1909000,no,no
TL,81000,18000,yes,no
EE,6103000,1695000,no,no
MU,1418000,316000,no,no
CY,4117000,632000,no,yes
SZ,1226000,345300,no,no
FR,601000,255000,no,no
FJ,969000,168000,no,no
KM,45000,7000,no,no
GY,315000,86000,yes,no
BT,316000,30000,yes,no
SB,29000,4000,yes,no
CN,39406000,5897000,no,no
LU,1041000,525000,yes,no
ME,2510000,351000,no,no
CV,758000,180000,yes,no
MT,3519000,718000,no,no
MV,1703000,555000,yes,no
BN,4449000,1071000,no,no
BZ,1674000,487000,no,no
BS,7250000,1794500,no,no
IS,2202000,488000,no,no
MQ,919000,523600,no,no
VU,256000,82400,no,no
PF,300000,89400,no,no
NC,474000,31000,no,yes
BB,966000,546000,no,no
ST,34900,10700,no,no
WS,181000,24000,no,no
CW,1293000,436000,no,no
LC,1220000,432500,no,no
GU,1667000,328000,yes,no
KI,12000,1400,no,no
GD,526000,217000,no,no
FM,18000,,yes,no
TO,94000,12000,no,no
SC,428000,125000,no,no
AW,1951000,,no,no
VC,404000,155000,no,no
US,2074000,8612000,no,no
AG,1035000,276000,no,no
AD,8235000,5207000,no,no
DM,322000,140000,no,no
KY,2334000,660000,no,no
BM,805000,51400,no,no
MP,487000,89000,no,no
KN,1107000,301400,no,no
TC,1599000,370400,no,no
SX,1952000,542000,no,no
AS,58600,900,no,no
MH,6100,1200,no,no
LI,98100,58400,yes,no
MC,363000,159000,yes,no
SM,1904000,1015000,no,no
GB,895000,83000,no,yes
PW,94000,18000,no,no
CK,172000,25000,yes,no
AI,166000,41000,no,no
TV,3700,600,yes,no
MS,19300,7700,no,no
NU,10200,1300,yes,no
