country,electricity_access_pct,internet_pct
AF,97.7,18.4
AL,100,79.32
DZ,99.7878,70.77
AD,100,93.8975
AO,48.2239,32.6023
AG,100,95.6634
AR,100,87.1507
AM,100,78.6123
AU,100,96.24
AT,100,92.5292
AZ,100,86
BH,100,100
BD,98.991,38.9174
BB,100,85.82
BY,100,86.89
BE,100,92.79
BZ,97.6921,61.9942
BJ,41.9736,33.9653
BT,100,85.6369
BO,98.5562,65.9774
BA,100,75.6762
BW,73.7259,73.5
BR,99.4621,80.69
BN,100,98.08
BG,99.8,75.2714
BF,18.9507,21.5798
BI,10.2338,5.80492
CV,95.5214,69.7623
KH,82.5017,60.1524
CM,65.4467,45.6022
CA,100,92.834
CF,15.6803,10.5826
TD,11.2686,17.8689
CL,100,90.1934
CN,100,73.05
CO,99.9991,73.0284
KM,87.9426,27.3369
CG,49.6572,8.65
CR,100,82.75
CI,71.1368,45.4255
HR,100,81.254
CU,100,71.1191
CY,100,90.7595
CZ,100,82.6706
KP,52.6306,0
CD,20.7682,22.9016
DK,100,98.8659
DJ,65.4413,68.8632
DM,100,80.933
DO,98.1,85.243
EC,100,76.2029
EG,100,72.06
SV,97.89,62.8803
GQ,66.787,53.9224
ER,52.514,21.7304
EE,100,91.04
SZ,82.9032,58.9129
ET,54.1884,16.6981
FJ,92.1,87.66
FI,100,92.8081
FR,100,86.0955
GA,91.8064,71.7494
GE,100,76.4427
DE,100,91.4306
GH,86.3,68.2
GR,100,78.4943
GD,93.7403,77.7672
GT,97.8657,50.8416
GN,46.8139,34.6801
GW,35.7638,35.155
GY,92.8982,84.7936
HT,47.1803,38.945
HN,94.1316,48.0835
HU,100,88.6408
IS,100,99.687
IN,99.5725,46.31
ID,99.21,62.1
IR,100,78.6
IQ,100,48.9172
IE,100,95.1696
IL,100,90.3
IT,100,74.8623
JM,100,82.36
JP,100,82.9141
JO,99.9,82.7556
KZ,100,90.92
KE,76.5424,28.7575
KI,92.8336,53.627
KR,100,97.5713
KW,100,99.7
KG,99.6737,77.9204
LA,100,62
LV,100,91.1796
LB,100,86.589
LS,50.3775,47.983
LR,29.8482,33.6332
LY,70.2105,17.76
LI,100,95.5694
LT,100,86.9306
LU,100,98.66
MG,35.1209,19.7302
MW,14.1884,24.4056
MY,100,96.7514
MV,100,85.7606
ML,53.3802,34.49
MT,100,87.4698
MH,99.7536,38.7012
MR,47.6958,58.7582
MU,99.6,67.58
MX,100,75.6265
FM,83.625,40.4096
MD,100,61.2878
MC,100,86.0955
MN,100,84.33
ME,99.7984,82.2197
MA,100,88.1303
MZ,31.494,17.3728
MM,72.4668,44.0217
NA,55.2253,52.9735
NR,100,83.9352
NP,89.9,51.6314
NL,100,92.053
NZ,100,95.9102
NI,86.2915,57.1469
NE,18.6,22.3861
NG,59.5,55.3637
MK,100,83.0182
NO,100,99
OM,100,96.3801
PK,94.9229,21.0372
PW,100,26.9703
PA,95.2511,67.5097
PG,20.9166,32.0542
PY,100,77.0184
PE,95.6,71.1078
PH,97.49,52.6757
PL,100,85.3749
PT,100,82.309
QA,100,100
RO,100,83.5904
RU,100,88.2138
RW,48.7004,30.4618
WS,98.3,78.2457
SM,100,74.8623
ST,78.4511,51.2041
SA,100,100
SN,67.9753,58.0548
RS,100,81.1659
SC,100,81.5931
SL,27.494,18
SG,100,91.0994
SK,100,88.9256
SI,100,89.004
SB,76.3475,36.132
SO,49.324,2.00405
ZA,89.3,72.3105
SS,7.74776,6.5
ES,100,93.9
LK,100,66.6815
KN,100,79.4731
LC,100,78.0956
VC,100,84.9128
SD,61.7677,28.4
SR,98.8233,65.9398
SE,100,88.3078
CH,100,95.57
SY,88.8245,35.78
TJ,99.5655,21.96
TZ,42.7434,31.6331
TH,100,85.27
BS,100,94.2938
GM,63.6974,32.9623
TL,100,39.4513
TG,55.7401,34.9841
TO,100,71.5866
TT,100,79
TN,99.9,78.9897
TR,100,81.41
TM,100,21.251
TV,99.6824,71.5866
UG,45.2203,10.3424
UA,100,79.2183
AE,100,100
GB,100,96.6802
US,100,91.7532
UY,100,90.0738
UZ,99.9,76.5904
VU,70.0428,66.3357
VE,99.9877,61.6
VN,100,74.21
PS,100,74.6
YE,74.8772,26.7184
ZM,46.6851,21.2315
ZW,48.9799,34.814
