country,electricity_access_pct,internet_pct,InternetSpeedsFixedBroadbandDownloadSpeed,BestHealthcareInTheWorldLegatumProsperityIndexHealthScore2023,CountriesWithoutMcDonalds
SS,7.74776,6.5,,35.69,x
BI,10.2338,5.80492,5.43,58.16,x
TD,11.2686,17.8689,,39.17,x
MW,14.1884,24.4056,18.74,61.01,x
CF,15.6803,10.5826,,31.95,x
NE,18.6,22.3861,5.12,54.6,x
BF,18.9507,21.5798,43.3,58.72,x
CD,20.7682,22.9016,26.86,50.9,x
PG,20.9166,32.0542,11.01,52.87,x
SL,27.494,18,18.09,48.26,x
LR,29.8482,33.6332,7.58,48.64,
MZ,31.494,17.3728,12.88,52.84,x
MG,35.1209,19.7302,21.44,54.12,x
GW,35.7638,35.155,,50.87,x
BJ,41.9736,33.9653,23.11,53.5,x
TZ,42.7434,31.6331,18.52,60.07,x
UG,45.2203,10.3424,12.65,58.49,x
ZM,46.6851,21.2315,22.01,57.2,x
GN,46.8139,34.6801,9.32,48.65,x
HT,47.1803,38.945,32.48,52.93,x
MR,47.6958,58.7582,18.09,56.74,x
AO,48.2239,32.6023,15.04,49.88,x
RW,48.7004,30.4618,30.92,64.6,x
ZW,48.9799,34.814,10.01,55.46,x
SO,49.324,2.00405,12.47,44.38,x
CG,49.6572,8.65,41.32,54.1,
LS,50.3775,47.983,22.46,41.3,x
ER,52.514,21.7304,,57.49,x
KP,52.6306,0,,,x
ML,53.3802,34.49,22.45,54.47,x
ET,54.1884,16.6981,7.11,60.91,x
NA,55.2253,52.9735,13.59,60.64,x
TG,55.7401,34.9841,28.74,55.09,x
NG,59.5,55.3637,18.83,50.12,x
SD,61.7677,28.4,8.36,60.55,x
GM,63.6974,32.9623,6.89,56.18,x
DJ,65.4413,68.8632,19.05,60.55,x
CM,65.4467,45.6022,10.34,51.02,x
GQ,66.787,53.9224,,50.41,x
SN,67.9753,58.0548,21.75,64.44,x
VU,70.0428,66.3357,10.76,,x
LY,70.2105,17.76,8.96,67.84,x
CI,71.1368,45.4255,60,51.81,x
MM,72.4668,44.0217,20.05,66.74,x
BW,73.7259,73.5,7.96,59.07,x
YE,74.8772,26.7184,6.12,57.45,x
SB,76.3475,36.132,,,x
KE,76.5424,28.7575,9.95,65.21,x
ST,78.4511,51.2041,,70.54,x
KH,82.5017,60.1524,22.64,70.58,x
SZ,82.9032,58.9129,,48.43,
FM,83.625,40.4096,13.07,,x
NI,86.2915,57.1469,49.8,72.1,
GH,86.3,68.2,37.27,63.08,x
KM,87.9426,27.3369,,59.6,x
SY,88.8245,35.78,4.06,67.16,x
ZA,89.3,72.3105,41.02,59.9,
NP,89.9,51.6314,56.26,63.87,x
GA,91.8064,71.7494,37.47,56.07,x
FJ,92.1,87.66,15.79,,
KI,92.8336,53.627,,,x
GY,92.8982,84.7936,63.34,62.47,
GD,93.7403,77.7672,76.85,,x
HN,94.1316,48.0835,37.96,69.1,
PK,94.9229,21.0372,13.71,60.78,
PA,95.2511,67.5097,148.76,75.1,
CV,95.5214,69.7623,17.09,72.75,x
PE,95.6,71.1078,93.52,75.81,
PH,97.49,52.6757,91.08,70.06,
BZ,97.6921,61.9942,44.77,70.61,x
AF,97.7,18.4,3.07,50.91,x
GT,97.8657,50.8416,42.41,68.33,
SV,97.89,62.8803,47.99,69.35,
