country,country_long,currency,capital_city,region,continent,latitude,longitude
Afghanistan,Islamic State of Afghanistan,Afghan afghani,Kabul,Southern Asia,Asia,33,65
Albania,Republic of Albania,Albanian lek,Tirana,Southern Europe,Europe,41,20
Algeria,People's Democratic Republic of Algeria,Algerian dinar,Algiers,Northern Africa,Africa,28,3
Andorra,Principality of Andorra,Euro,Andorra la Vella,Southern Europe,Europe,42.5,1.5
Angola,People's Republic of Angola,Angolan kwanza,Luanda,Middle Africa,Africa,-12.5,18.5
Antigua and Barbuda,Antigua and Barbuda,East Caribbean dollar,Saint John's,Caribbean,Americas,17.05,-61.8
Argentina,Argentine Republic,Argentine peso,Buenos Aires,South America,Americas,-34,-64
Armenia,Republic of Armenia,Armenian dram,Yerevan,Western Asia,Asia,40,45
Australia,Commonwealth of Australia,Australian dollar,Canberra,Australia and New Zealand,Oceania,-27,133
Austria,Republic of Austria,Euro,Vienna,Western Europe,Europe,47.33333333,13.33333333
Azerbaijan,Republic of Azerbaijan,New Azeri manat,Baku,Western Asia,Asia,40.5,47.5
Bahrain,Kingdom of Bahrain,Bahraini dinar,Manama,Western Asia,Asia,26,50.55
Bangladesh,People's Republic of Bangladesh,Bangladeshi taka,Dhaka,Southern Asia,Asia,24,90
Barbados,Barbados,Barbados dollar,Bridgetown,Caribbean,Americas,13.16666666,-59.53333333
Belarus,Republic of Belarus,Belarusian rubel,Minsk,Eastern Europe,Europe,53,28
Belgium,Kingdom of Belgium,Euro,Brussels,Western Europe,Europe,50.83333333,4
Belize,Belize,Belize dollar,Belmopan,Central America,Americas,17.25,-88.75
Benin,Republic of Benin,West African CFA franc,Porto-Novo,Western Africa,Africa,9.5,2.25
Bhutan,Kingdom of Bhutan,Bhutanese ngultrum,Thimphu,Southern Asia,Asia,27.5,90.5
Bolivia,Plurinational State of Bolivia,Bolivian Boliviano,Sucre,South America,Americas,-17,-65
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,Sarajevo,Southern Europe,Europe,44,18
Botswana,Republic of Botswana,Botswana pula,Gaborone,Southern Africa,Africa,-22,24
Brazil,Federative Republic of Brazil,Brazilian real,Brasília,South America,Americas,-10,-55
Brunei,Brunei Darussalam,Brunei dollar,Bandar Seri Begawan,South-Eastern Asia,Asia,4.5,114.6666667
Bulgaria,Republic of Bulgaria,Bulgarian lev,Sofia,Eastern Europe,Europe,43,25
