country,Date,Until,Headline,Description,Sources,MostPeaceful2023GPI
ET,2018.0,2019.0,"Violence in western Ethiopia, in part driven by shortages of water and land resources, displaces one million people",Violence in western Ethiopia displaces one million people. The violence is in part driven by shortages of water and land resources.,Amare 2019,2.872
ET,2004.0,2006.0,Violence over water in Ethiopia,"At least 250 people killed and many more injured in clashes over water wells and pastoral lands. Villagers call it the ""War of the Well"" and describe ""well warlords, well widows, and well warriors."" A three-year drought has led to extensive violence over limited water resources, worsened by the lack of effective government and central planning.",British Broadcasting Corporation (BBC) 2004,2.872
ET,2018.0,,More than 70 water systems damaged in Ethiopia related to violent conflicts,At least 76 water systems have been damaged by the ongoing conflict in the Oromia region of Ethiopia. The larger conflict leading to these casualties is between different ethnic groups and has displaced hundreds of thousands of people.,UNICEF 2018,2.872
ET,2006.0,,Water clashes kill 40 in Kenya and Ethiopia,"At least 40 people die in Kenya and Ethiopia in continuing clashes over water, livestock, and grazing land. Fighting occurs in the southern Ethiopia in the region of Oromo and the northern Kenya Marsabit district.",Reuters 2006,2.872
ET,2000.0,,Regional drought heightens tensions in Ethiopia and Kenya,"The Ethiopian government says that regional drought worsens traditional conflicts at watering points and over access to pasture. The tensions are heightened by the presence of the Oromo Liberation Front (OLF), an Ethiopian armed opposition group said to be operating from Kenyan territory near the common border.",Norwegian Refugee Council/Global IDP Project 2002,2.872
ET,1998.0,,War between Eritrea and Ethiopia includes destruction of water systems,"During the war with Ethiopia in 1998, many water supply systems in the mountainous region of Debub and Gash Barka in Eritrea are destroyed.",International Committee of the Red Cross (ICRC) 2009,2.872
ET,2012.0,,Egypt and Sudan allegedly target Ethiopia dam,"Information is leaked about an alleged secret agreement that would allow Egypt to build an air base in Sudan to attack the Grand Ethiopian Renaissance Dam (GERD). Egypt is concerned that the dam, under construction in Ethiopia just upstream of Sudan on the Blue Nile, would reduce flows into its territory. The news reports, strongly denied by Egypt, claim that Sudan would allow Egypt to launch attacks if diplomatic efforts fail to resolve water sharing between Egypt and Ethiopia. The allegations are based on an internal 2010 email made available by Wikileaks.",Sudan Tribune 2012,2.872
ET,2009.0,,Village attacked in Ethiopian water pipe conflict,"Ethiopian Somalis attack a Borana community in the Oromia region over ownership of a new borehole being drilled on the disputed border between them. Three people from the Oromia village of Kafa are killed and seven injured, and the entire community driven from their homes. The drilling rig is destroyed, as well.",British Broadcasting Corporation (BBC) 2009,2.872
ET,2008.0,,Multiple civilians killed by remotely-triggered bombs targeting water trucks,At least two water trucks being used to deliver supplies to the Ethiopian army are targeted by remotely-triggered bombs. At least four civilians are killed and another eight are injured.,RAND Database of Worldwide Terrorism Incidents 2018,2.872
ET,2007.0,,A forced displacement campaign by the Ethiopian military includes destruction of water wells and other sources,"During a violent, forced displacement effort by the Ethiopian military, water wells and other water supply sources are destroyed. The Ethiopian military is seeking to move people out of the country side and into larger towns and cities in order to continue their counterinsurgency fight against the Ogaden National Liberation Front. Numerous sources report executions of those who refuse to cooperate.",Human Rights Watch 2008,2.872
ET,2007.0,,Soldiers threaten to throw woman into a well and drown her if she does not comply,"A 20-year-old woman reports that prior to being beat by military forces, she was threatened with drowning in a well if she does not comply. This report is associated with reports soldiers guarding water holes and of other human rights abuses by the Ethiopian military from their campaign to defeat the Ogaden National Liberation Front.",Human Rights Watch 2008,2.872
ET,2006.0,,Violent water clashes in Somali Region,At least 12 people die and over 20 are wounded in clashes over competition for water and pasture in the Somali border region.,British Broadcasting Corporation (BBC) 2006a,2.872
ET,2000.0,,Ethiopian killed in water fight,One man stabbed to death during fight over clean water during famine in Ethiopia.,Sandrasagra 2000,2.872
SS,2018.0,2019.0,War and soaring temperatures leave women and children water collectors vulnerable in South Sudan,"War and soaring temperatures leave many rural communities in South Sudan with little or no local water sources. Women and children are subjected to violent attacks, rape, and murder when traveling to regional sources to collect water. Leaders report conflicts sparked by water shortages occurring between the many of the 60 different ethnic groups across the country.",Trew 2019,3.221
SS,2011.0,2018.0,Water infrastructure is a casualty of the ongoing conflict in South Sudan,"Since South Sudan's independence in 2011, ongoing violent conflicts have harmed and destroyed water infrastructure  across the country.",Ritter 2019,3.221
SS,2019.0,,Water shortages linked to child kidnappings in South Sudan,"Local authorities cite water shortages as a growing influence on the number child kidnappings in the Boma region of South Sudan. When there is a water shortage, shepherding communities spend more time on the move seeking water for their livestock, but, as a side business, they will also abduct children who can then be resold for profit.",Trew 2019,3.221
SS,2017.0,,Violence between herdsmen and farmers over access to water and pasture,Local militia allegedly supported by the Sudan People's Liberation Army attack Kenyan herdsmen who crossed the border in search of water and pasture for their cattle.,Raleigh et al 2010 ID. 307066,3.221
SS,2017.0,,38 killed; 30 injured in fighting over access to water and land in South Sudan,"According to a report, 38 people are killed and another 30 are injured in fighting between two local clans over water points, grazing land, and border areas, in Gogrial West, Warrap, South Sudan.",AAP 2017,3.221
SS,2017.0,,"Violent clashes in South Sudan lead to 10 dead, many wounded, and destruction of a water point","Violent clashes between government and the Sudan People's Liberation Movement-In Opposition (SPLA-IO) cause the destruction of a water point and leave a reported 10 people dead and 16 more wounded in Wichok, Rubkona, Unity, South Sudan.",Raleigh et al 2010 ID. 307870,3.221
SS,2014.0,,Water pipeline destroyed in South Sudan,"Fighting around Malakal, in South Sudan, displaces thousands and leaves many dead. A military checkpoint and water pipeline to the United Nations Mission in South Sudan (UNMISS) compound and nearby Protection of Civilians area are targeted and destroyed.",World Vision 2014,3.221
SS,2012.0,,Water-related violence in South Sudan refugee camp,Violence breaks out at water points in the Jamam refugee camp in South Sudan. Medicines Sans Frontieres reports that as many as 10 refugees die every day because of water shortages at refugee camps in South Sudan.,McNeish 2012,3.221
BO,2002.0,,Bolivian irrigators and townsmen clash over water rights,"Tarata, Bolivia experiences violent confrontations between irrigators from the region of Arbieto and residents of the nearby town of Tarata. The dispute centers on the allocation of water among these users and new water infrastructure that took water from the Laka Laka dam. In October, irrigators destroy approximately two kilometers of water supply pipeline. In response, residents destroy part of a primary irrigation channel. After failed negotiations, the water system is damaged again in December in another confrontation between irrigators and village residents.","Bustamante et al 2004, Moriarty Butterworth and van Koopen 2004",2.001
BO,2000.0,,"Riots over privatization in Cochabamba, Bolivia","Massive protests, riots, and violence result from efforts to privatize the water system of Cochabamba, Bolivia.",Shultz and Draper 2009,2.001
IQ,2014.0,2015.0,"Islamic State destroys water wells, pumps, and pipes in agricultural regions in Iraq","Farmers returning to their land in northwestern Iraq after the Islamic State (ISIS/ISIL) find widespread devastation to agricultural land, livestock, and machinery, including water pumps, wells, pipes and generators. One assessment by the Iraq Food and Security Cluster Partnership notes that of the 450 deep wells, only 50 are still useable. Another assessment by Amnesty International details the destruction of wells on the properties of more than 30 different farmers from across the country.",Joint Crisis Coordination Center 2015,3.006
IQ,2018.0,,Iraqi female activist assassinated,"An Iraqi activist, Su?ad Al-Ali, is assassinated while getting into her vehicle in Basra, Iraq. Mrs. Al-Ali had worked to bring better government services to her community, including safe and reliable drinking water.",Al Jazeera 2018a,3.006
IQ,2018.0,,"Tens of thousands admitted to hospitals from contaminated drinking water, inciting violence that leads to deaths and injuries","Tens of thousands fall ill from contaminated drinking water in Basra, Iraq. In response, citizen unrest escalates and protests turn violent, leaving at least 15 dead and hundreds injured.",Trew 2018,3.006
