country,gdp,inflation,tax_revenue_pct_gdp,unemployment_pct,electricity_access_pct,suicide_rate,birth_rate,death_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,democracy_score,democracy_type,median_age,title
Afghanistan,14583100000,2.30237,9.89845,11.71,97.7,4.1,35.842,7.344,18.4,62,-183672,20362329,20766442,41128771,2.97,Authoritarian,12.9,President
Albania,18882100000,6.7252,18.1986,11.808,100,4.3,10.24,11.325,79.32,76,-10612,1391085,1384548,2775634,5.98,Hybrid regime,33.7,Prime Minister
Algeria,1.92E+11,9.26552,,11.55,99.7878,2.5,21.524,4.546,70.77,76,-18797,22040987,22862237,44903225,3.5,Authoritarian,24,President
Andorra,3352030000,,,,100,,7,3.9,93.8975,,1377,39038,40786,79824,0,Unknown,38.9,Head of Government
Angola,1.07E+11,25.7543,10.0904,10.209,48.2239,6.1,38.809,8.009,32.6023,62,29089,17998220,17590767,35588987,3.62,Authoritarian,12.4,President
Antigua and Barbuda,1757600000,7.53108,,,100,0.4,12.115,6.365,95.6634,78,0,48981,44782,93763,0,Unknown,31.1,Prime Minister
Argentina,6.33E+11,,11.4844,6.491,100,8.4,13.902,8.955,87.1507,75,2344,23345532,22889298,46234830,7.02,Flawed democracy,27.6,President
Armenia,19502800000,8.64091,22.0288,12.557,100,3.3,12.049,13.007,78.6123,72,-12825,1530390,1250079,2780469,4.79,Hybrid regime,30.8,Prime Minister
Australia,1.68E+12,6.5941,23.1275,3.661,100,12.5,12.1,6.7,96.24,83,117929,13079142,12899794,25978935,9.09,Full democracy,33.3,Prime Minister
Austria,4.71E+11,8.54687,25.783,4.707,100,14.6,9.6,10.3,92.5292,81,20314,4590655,4451873,9042528,8.29,Full democracy,39,Federal Chancellor
Azerbaijan,78721100000,13.8523,13.4213,5.462,100,4.1,11.1,7.6,86,69,1084,5154492,5020523,10175016,2.65,Authoritarian,27.9,President
Bahrain,44390800000,3.62574,4.21684,1.399,100,8.9,11.926,2.479,100,79,-9150,560034,912199,1472233,2.71,Authoritarian,29.2,King
Bangladesh,4.60E+11,7.69695,7.64236,4.699,98.991,3.7,17.821,5.68,38.9174,72,-174500,86327159,84859213,171186372,5.57,Hybrid regime,22.7,Prime Minister
Barbados,5637910000,4.10029,27.4785,8.203,100,0.6,10.832,9.007,85.82,78,-28,146550,135084,281635,0,Unknown,35.2,Prime Minister
Belarus,72793500000,15.2097,12.0229,4.17,100,21.2,9.283,16.544,86.89,72,12961,4968656,4240046,9208701,3.13,Authoritarian,36.5,President
Belgium,5.79E+11,9.59751,23.3495,5.631,100,18.3,10.2,9.7,92.79,82,52356,5903468,5765978,11669446,7.78,Flawed democracy,37.1,Prime Minister
Belize,2824080000,3.23564,21.1602,9.687,97.6921,7.1,17.976,6.353,61.9942,70,577,201525,203747,405272,0,Unknown,21.6,Prime Minister
Benin,17401700000,1.35078,10.7891,1.654,41.9736,7.8,36.608,9.434,33.9653,60,1732,6663569,6689295,13352864,5.74,Hybrid regime,13.6,President
Bhutan,2539550000,5.63917,12.9842,3.604,100,4.6,12.482,6.477,85.6369,72,291,368525,413930,782455,5.3,Hybrid regime,24.8,Prime Minister
Bolivia,43068900000,1.74633,16.9649,4.419,98.5562,6.2,21.836,9.945,65.9774,64,-4666,6097747,6126364,12224110,5.7,Hybrid regime,20.1,President
Bosnia and Herzegovina,24527500000,14.0208,19.1168,14.053,100,10.9,8.42,15.712,75.6762,75,-25865,1641713,1591814,3233526,4.98,Hybrid regime,38.1,High Representative
Botswana,20352300000,11.6656,22.246,20.684,73.7259,16.1,23.576,9.461,73.5,61,1816,1331489,1298807,2630296,7.81,Flawed democracy,19.7,President
Brazil,1.92E+12,9.28011,14.3168,9.461,99.4621,6.9,12.883,8.326,80.69,73,20376,109580471,105733027,215313498,6.97,Flawed democracy,29.2,President
Brunei,16681500000,3.68225,,7.203,100,2.7,13.8,5.211,98.08,75,-192,216797,232205,449002,0,Unknown,28.2,Sultan and Prime Minister
Bulgaria,89040400000,15.3253,20.6213,4.402,99.8,9.7,8.5,21.7,75.2714,72,-8716,3329964,3135133,6465097,7.03,Flawed democracy,40.7,Prime Minister
Burkina Faso,18884600000,14.2902,15.9065,5.175,18.9507,7.5,35.541,8.958,21.5798,59,-13097,11374607,11299155,22673762,4.75,Hybrid regime,12.9,President
