country,democracy_score,democracy_type,currentLeadership,InternetFreedomStatus,CountriesWhereAlcoholIsIllegal,countriesWhereAbortionIsIllegal_legality,genderEqualityByCountry_gendEqal2021,genderEqualityByCountry_econ,genderEqualityByCountry_education,genderEqualityByCountry_health,genderEqualityByCountry_polit,CountriesWhereWearingBurqaIsMandatoryHijabMandatory,countriesWithMandatoryMilitaryService_mandatoryService,LgbtqGAI,LgbtqEEI,LgbtqTSI,LgbtqConsensualSameSexActs,LgbtqDeathPenalty,LgbtqMaxPenalty,LgbtqSameSexUnions,LgbtqSameSexMarriages,LgbtqSameSexAdoptions
AF,2.97,Authoritarian,President,,Illegal,To save the mothers life,0.444,0.18,0.514,0.952,0.132,Yes,unclear,3.32,2.0,-147.0,Illegal - 2018,Possible,2 yrs prison to death,No,No,No
AL,5.98,Hybrid regime,Prime Minister,,,No restriction,0.77,0.748,0.999,0.956,0.377,,No,2.65,38.0,141.0,Legalized 1995,No,,No,No,No
DZ,3.5,Authoritarian,President,,Partially legal,To preserve physical/mental health,0.633,0.456,0.966,0.958,0.151,,Yes,4.28,16.0,-75.0,Illegal - 1966,No,2 yrs prison + fines,No,No,No
AD,0.0,Unknown,Head of Government,,,Prohibited altogether,,,,,,,,7.48,85.0,175.0,Legalized 1990,No,,Legalized 2005,No,Legalized 2014
AO,3.62,Authoritarian,President,Partly Free,,Prohibited altogether,0.657,0.646,0.759,0.976,0.245,,Yes,3.66,62.0,213.0,Legalized 2021,No,,No,No,No
AG,0.0,Unknown,Prime Minister,,,To save the mothers life,,,,,,,,3.52,35.0,-67.0,Illegal - 1995,No,15 yrs prison,No,No,No
AR,7.02,Flawed democracy,President,Free,,No restriction,0.752,0.639,1.0,0.977,0.39,,De jure,7.07,82.0,260.0,Legalized 1903,No,,Legalized 2002,Legalized 2010,Legalized 2010
AM,4.79,Hybrid regime,Prime Minister,Free,,No restriction,0.673,0.655,0.998,0.95,0.091,,Yes,2.17,34.0,64.0,Legalized 2003,No,,No,No,No
AU,9.09,Full democracy,Prime Minister,Free,,No restriction,0.731,0.7,1.0,0.968,0.258,,No,8.03,84.0,307.0,Legalized 1975-1997,No,,Varied,Legalized 2017,Legalized 2002-2018
AT,8.29,Full democracy,Federal Chancellor,,,No restriction,0.777,0.665,1.0,0.97,0.473,,Yes,7.2,74.0,305.0,Legalized 1971,No,,Legalized 2010,Legalized 2019,Legalized 2016
AZ,2.65,Authoritarian,President,Not Free,,No restriction,0.688,0.748,0.996,0.939,0.069,,Yes,1.42,24.0,,Legalized 2000,No,,No,No,No
BH,2.71,Authoritarian,King,Not Free,,No restriction,0.632,0.518,0.985,0.959,0.066,,No,5.73,44.0,-15.0,Legalized 1976,No,,No,No,No
BD,5.57,Hybrid regime,Prime Minister,Partly Free,Illegal,To save the mothers life,0.719,0.418,0.951,0.962,0.546,,No,3.69,23.0,-9.0,Illegal - 1860,No,Life in prison,No,No,No
