country,LifeLadder,SocialSupport,HealthyLifeExpectancyAtBirth,FreedomToMakeLifeChoices,Generosity,PerceptionsOfCorruption,PositiveAffect,NegativeAffect,ConfidenceInNationalGovernment,SuicideRate
BO,5.56862402,0.797810495,63.59999847,0.861731231,-0.054499056,0.812174439,0.721001804,0.403487325,0.385875583,6.2
AF,2.436034441,0.454174697,54.54999924,0.394305944,,0.946299374,0.178885803,0.60671258,0.255620003,4.1
AL,5.25548172,0.70188278,69.15000153,0.827452719,0.044741828,0.896126628,0.553830087,0.25365448,0.472924024,4.3
DZ,5.217017651,0.840710282,66.59999847,0.558486938,-0.111191154,0.711900055,0.498022288,0.257779151,,2.5
AR,5.908278942,0.882304549,67.19999695,0.819479346,-0.008816142,0.816256702,0.684860051,0.345131576,0.326574117,8.4
AM,5.300568581,0.762044132,67.65000153,0.795169771,-0.150131598,0.705333829,0.565781593,0.477539957,0.297145844,3.3
AU,7.111598969,0.91975528,71.05000305,0.912402213,0.237517536,0.453676045,0.739800155,0.235314175,0.519226372,12.5
AT,7.079640865,0.862975955,71.15000153,0.794845939,0.161673456,0.500808597,0.721865237,0.259080172,0.61045897,14.6
BJ,4.493431091,0.435524195,56.09999847,0.724061847,-0.013507844,0.6125471,0.596800864,0.434594899,0.762415886,7.8
BA,5.748823166,0.859953582,67.30000305,0.758979201,0.281281054,0.920913935,0.604092598,0.305352151,0.225852832,10.9
BR,6.009953499,0.814328671,65.75,0.791507721,0.090771444,0.738571405,0.661550403,0.407182962,0.327099293,6.9
BG,5.421693325,0.883621037,66.5,0.841188073,-0.010516754,0.891248465,0.646759868,0.252776712,0.224526197,9.7
BF,4.635508537,0.6575436,55.65000153,0.64410162,0.067472264,0.736158907,0.619715929,0.363105804,0.620851576,7.5
KH,4.555141449,0.712757587,61.90000153,0.965093315,0.019178679,0.84435308,0.759146988,0.391309649,,4.9
CM,4.962747574,0.694936395,55.84999847,0.715301752,-0.023982672,0.848717153,0.612028599,0.346513718,0.563208461,9
CA,6.939435482,0.926076412,71.40000153,0.898229182,0.193240881,0.383990496,0.762826681,0.276232809,0.610411167,11.8
CL,6.435630798,0.891460538,70.30000305,0.80341506,-0.049180858,0.858552754,0.735079885,0.220878571,0.232144803,9
CN,5.862864494,0.85600698,68.75,0.874755502,0.023953401,,0.697809815,0.239618436,,8.1
CO,5.289958477,0.792830646,69.34999847,0.774668455,-0.06074876,0.831330955,0.75165838,0.348332316,0.289148897,3.9
CR,6.408448219,0.87605232,70,0.886652231,-0.023066543,0.781826913,0.774057925,0.317840338,0.315308332,8.1
HR,6.286790371,0.917741537,68.94999695,0.841837883,0.009498014,0.933650374,0.640148699,0.274197161,0.251287937,16.4
CY,6.269202232,0.85535723,72.80000305,0.717639267,,0.876456022,0.64112097,0.274683625,0.321940005,3.6
CZ,6.942496777,0.950226784,69.05000305,0.890521467,0.163303927,0.8625741,0.716166556,0.239848629,0.284475416,12.2
DK,7.698747158,0.944926739,71.25,0.933439255,0.132816002,0.172680944,0.7918908,0.20642221,0.651709735,10.7
DO,6.030537128,0.857106984,64.40000153,0.859358311,-0.084483601,0.677408218,0.73365891,0.275468111,0.574958026,4.9
EC,5.43487215,0.785531878,69,0.821025372,-0.080462657,0.774508297,0.741730273,0.40317139,0.412493259,7.6
EG,4.025747776,0.717022359,63.5,0.704442561,-0.227792621,0.580454171,0.387354374,0.324949861,0.764044523,3
SV,6.431447029,0.796106219,65.59999847,0.914903879,-0.075257853,0.663288593,0.825840414,0.289976716,0.702381134,6.1
EE,6.553915501,0.945865035,69.65000153,0.925818324,0.049557805,0.441425771,0.760608435,0.176258042,0.519263983,14.9
FI,7.794377804,0.97028929,71.15000153,0.96318984,-0.035728443,0.191753656,0.75161171,0.175448626,0.713731229,15.3
FR,6.656206608,0.914597511,72.30000305,0.836917698,-0.100719824,0.56081295,0.684601307,0.268417448,0.433520496,13.8
GA,5.075422287,0.75387162,58.25,0.699056685,-0.204959437,0.765906811,0.620008111,0.36192885,0.448331118,8.4
GE,4.911273479,0.670689464,64.94999695,0.777061343,-0.285530955,0.723406911,0.509632826,0.240043506,0.443020523,9.2
DE,6.754523754,0.86758256,71.30000305,0.778439999,0.07768628,0.417581916,0.70333302,0.251194686,0.604759932,12.3
GH,4.377950668,0.63272965,58.75,0.730264723,0.108457863,0.887770474,0.58759433,0.295109749,0.521073401,6.6
GR,6.104214191,0.85032618,71.15000153,0.574029803,-0.155177593,0.751816869,0.623556495,0.310851872,0.401736408,5.1
GN,4.944539547,0.627239227,54.20000076,0.676289976,0.15986903,0.783515692,0.671716809,0.450476736,,7
HN,6.113636017,0.805980861,63.84999847,0.835045755,0.119133651,0.847225428,0.807722807,0.269214004,0.226496547,2.1
HU,6.226647854,0.947892129,67.5,0.727489948,-0.041736327,0.831555367,0.668148637,0.191949174,0.416566133,16.6
IS,7.564624786,0.97985822,72.05000305,0.923243344,0.258854508,0.664465606,0.805808485,0.1591032,0.633886755,11.9
IN,3.558253765,0.569732904,60.90000153,0.866110921,0.056761485,0.756820023,0.547308445,0.429137886,0.785475373,12.7
ID,5.43317318,0.816924691,63.04999924,0.884855866,0.545828223,0.845080256,0.798546731,0.27275306,0.840339124,2.4
IQ,5.093667984,0.730212867,63.65000153,0.594466746,0.008787568,0.900640011,0.577400565,0.474228501,0.42379427,3.6
IE,6.827651978,0.849838138,71.30000305,0.846344113,0.133829191,0.360423386,0.732733727,0.245210573,0.623389423,9.6
IL,7.577528,0.91658324,72.69999695,0.819777012,-0.001983023,0.726003766,0.558294713,0.21654281,0.439594686,5.3
IT,6.4667449,0.885533631,72.05000305,0.702845216,-0.091751009,0.862317502,0.634286821,0.318436861,0.354293913,6.7
