country,MostPeaceful2023GPI,MostPeaceful2022GPI,MostPeacefulChange20222023,MostPeaceful2021GPI,MostPeacefulChange20212022
IN,2.314,2.578,0.264,2.553,-0.025
CN,2.009,2.01,0.001,2.114,0.104
ID,1.829,1.8,-0.029,1.783,-0.017
PK,2.745,2.789,0.044,2.868,0.079
NG,2.713,2.725,0.012,2.712,-0.013
BR,2.462,2.465,0.003,2.43,-0.035
BD,2.051,2.067,0.016,2.068,0.001
RU,3.142,3.275,0.133,2.993,-0.282
ET,2.872,2.806,-0.066,2.613,-0.193
MX,2.599,2.612,0.013,2.62,0.008
JP,1.336,1.336,0,1.373,0.037
PH,2.229,2.339,0.11,2.417,0.078
EG,2.267,2.342,0.075,2.397,0.055
CD,3.214,3.166,-0.048,3.196,0.03
VN,1.745,1.786,0.041,1.835,0.049
IR,2.8,2.687,-0.113,2.637,-0.05
TR,2.8,2.785,-0.015,2.843,0.058
DE,1.456,1.462,0.006,1.48,0.018
TH,2.061,2.098,0.037,2.205,0.107
TZ,2.058,2.001,-0.057,1.892,-0.109
GB,1.693,1.667,-0.026,1.658,-0.009
FR,1.939,1.895,-0.044,1.868,-0.027
ZA,2.405,2.283,-0.122,2.344,0.061
IT,1.662,1.643,-0.019,1.652,0.009
KE,2.254,2.303,0.049,2.254,-0.049
MM,2.741,2.631,-0.11,2.457,-0.174
CO,2.693,2.729,0.036,2.694,-0.035
KR,1.763,1.779,0.016,1.877,0.098
UG,2.3,2.309,0.009,2.219,-0.09
SD,3.023,3.007,-0.016,2.936,-0.071
ES,1.649,1.603,-0.046,1.621,0.018
IQ,3.006,3.157,0.151,3.257,0.1
DZ,2.094,2.146,0.052,2.31,0.164
AR,1.837,1.911,0.074,1.945,0.034
AF,3.448,3.554,0.106,3.631,0.077
PL,1.634,1.552,-0.082,1.524,-0.028
CA,1.35,1.389,0.039,1.33,-0.059
MA,2.02,1.969,-0.051,2.015,0.046
UA,3.043,2.971,-0.072,2.66,-0.311
AO,2.02,1.982,-0.038,2.017,0.035
SA,2.26,2.288,0.028,2.376,0.088
UZ,2.033,2.001,-0.032,2.062,0.061
YE,3.35,3.394,0.044,3.407,0.013
MZ,2.259,2.316,0.057,2.123,-0.193
GH,1.799,1.759,-0.04,1.715,-0.044
PE,2.13,2.091,-0.039,2.034,-0.057
MY,1.513,1.471,-0.042,1.515,0.044
NP,2.006,1.947,-0.059,2.033,0.086
MG,1.846,1.995,0.149,1.963,-0.032
CI,2.053,2.144,0.091,2.123,-0.021
VE,2.693,2.798,0.105,2.934,0.136
CM,2.66,2.709,0.049,2.7,-0.009
NE,2.625,2.655,0.03,2.589,-0.066
