country,Year,Sex,Religion,Value,Gallup2022NonReligious,Gallup2022Atheist,Gallup2017Combined,Pew2010Unaffiliated
AW,2010.0,Both Sexes,Total,101484.0,,,,6.0
AW,2010.0,Both Sexes,Adventist,880.0,,,,6.0
AW,2010.0,Both Sexes,Anglican,450.0,,,,6.0
AW,2010.0,Both Sexes,Jehovah Witness,1703.0,,,,6.0
AW,2010.0,Both Sexes,Jewish,354.0,,,,6.0
AW,2010.0,Both Sexes,Methodist,932.0,,,,6.0
AW,2010.0,Both Sexes,Pagan,5625.0,,,,6.0
AW,2010.0,Both Sexes,Protestant,2698.0,,,,6.0
AW,2010.0,Both Sexes,Roman Catholic,76464.0,,,,6.0
AW,2010.0,Both Sexes,No Religion,5625.0,,,,6.0
AW,2010.0,Both Sexes,Not Stated,515.0,,,,6.0
AW,2010.0,Both Sexes,Other Religions and Persuasions,11862.0,,,,6.0
AW,2010.0,Male,Total,48241.0,,,,6.0
AW,2010.0,Male,Adventist,349.0,,,,6.0
AW,2010.0,Male,Anglican,183.0,,,,6.0
AW,2010.0,Male,Jehovah Witness,683.0,,,,6.0
AW,2010.0,Male,Jewish,202.0,,,,6.0
AW,2010.0,Male,Methodist,420.0,,,,6.0
AW,2010.0,Male,Pagan,3104.0,,,,6.0
AW,2010.0,Male,Protestant,1230.0,,,,6.0
AW,2010.0,Male,Roman Catholic,36506.0,,,,6.0
AW,2010.0,Male,No Religion,3104.0,,,,6.0
AW,2010.0,Male,Not Stated,283.0,,,,6.0
AW,2010.0,Male,Other Religions and Persuasions,5282.0,,,,6.0
AW,2010.0,Female,Total,53243.0,,,,6.0
AW,2010.0,Female,Adventist,531.0,,,,6.0
AW,2010.0,Female,Anglican,267.0,,,,6.0
AW,2010.0,Female,Jehovah Witness,1020.0,,,,6.0
AW,2010.0,Female,Jewish,152.0,,,,6.0
AW,2010.0,Female,Methodist,512.0,,,,6.0
AW,2010.0,Female,Pagan,2521.0,,,,6.0
AW,2010.0,Female,Protestant,1469.0,,,,6.0
AW,2010.0,Female,Roman Catholic,39959.0,,,,6.0
AW,2010.0,Female,No Religion,2521.0,,,,6.0
AW,2010.0,Female,Not Stated,233.0,,,,6.0
AW,2010.0,Female,Other Religions and Persuasions,6580.0,,,,6.0
BS,2010.0,Both Sexes,Total,351461.0,,,,3.1
BS,2010.0,Both Sexes,Anglican,48006.0,,,,3.1
BS,2010.0,Both Sexes,Assembly of God,2397.0,,,,3.1
BS,2010.0,Both Sexes,Baha'i,65.0,,,,3.1
BS,2010.0,Both Sexes,Baptist,122500.0,,,,3.1
BS,2010.0,Both Sexes,Brethren,5781.0,,,,3.1
BS,2010.0,Both Sexes,Church of God,6732.0,,,,3.1
BS,2010.0,Both Sexes,Hindu,428.0,,,,3.1
BS,2010.0,Both Sexes,Islam ,306.0,,,,3.1
BS,2010.0,Both Sexes,Jehovah Witness,3762.0,,,,3.1
BS,2010.0,Both Sexes,Jewish,191.0,,,,3.1
BS,2010.0,Both Sexes,Lutheran,376.0,,,,3.1
BS,2010.0,Both Sexes,Methodist,12512.0,,,,3.1
BS,2010.0,Both Sexes,Mormon,301.0,,,,3.1
BS,2010.0,Both Sexes,Pentecostal,31358.0,,,,3.1
BS,2010.0,Both Sexes,Presbyterian,728.0,,,,3.1
BS,2010.0,Both Sexes,Rastafarian,790.0,,,,3.1
BS,2010.0,Both Sexes,Roman Catholic,42287.0,,,,3.1
BS,2010.0,Both Sexes,Seventh Day Adventist,15441.0,,,,3.1
BS,2010.0,Both Sexes,Other Christians,41214.0,,,,3.1
BS,2010.0,Both Sexes,Other Non-Christians,228.0,,,,3.1
BS,2010.0,Both Sexes,Not Stated,9050.0,,,,3.1
BS,2010.0,Both Sexes,,6561.0,,,,3.1
BS,2010.0,Both Sexes,Greek Church,447.0,,,,3.1
BS,2010.0,Male,Total,170257.0,,,,3.1
BS,2010.0,Male,Anglican,23094.0,,,,3.1
BS,2010.0,Male,Assembly of God,1148.0,,,,3.1
