country,MostVisitedNumOfArrivals,MostVisitedDataYear,shareOfVisits,WorstToVisitTravelAdvisoryQ42022,WorstToVisitPossibleThreats
IN,17914000.0,2019.0,1.795273122,,
CN,30402000.0,2020.0,3.046773108,,
CN,5897000.0,2020.0,0.590974969,,
US,45037000.0,2020.0,4.51343729,,
US,8612000.0,2020.0,0.86306197,,
ID,4053000.0,2020.0,0.406176285,,
PK,966000.0,2012.0,0.096808855,,
NG,5265000.0,2016.0,0.527638327,,
BR,6353000.0,2019.0,0.63667356,,
BD,323000.0,2019.0,0.032369835,,
RU,6359000.0,2020.0,0.637274857,Level 4 (Do Not Travel),"Singling out of US citizens in Russia by government security officials including for detention, COVID-19-related restrictions, and terrorism"
ET,518000.0,2020.0,0.051911995,,
MX,51128000.0,2020.0,5.123854203,Other,Crime and kidnapping
JP,4115800.0,2020.0,0.412469862,,
PH,1483000.0,2020.0,0.148620634,,
EG,13026000.0,2019.0,1.305416305,,
CD,351000.0,2016.0,0.035175888,,
VN,3837000.0,2020.0,0.384529584,,
IR,1550000.0,2020.0,0.15533512,Level 4 (Do Not Travel),Kidnapping and the arbitrary arrest and detention of U.S. citizens.
TR,15971000.0,2020.0,1.600553033,,
DE,12449000.0,2020.0,1.247591554,,
TH,39916000.0,2019.0,4.000230096,,
TZ,1527000.0,2019.0,0.153030147,,
GB,11101000.0,2020.0,1.112500108,,
GB,83000.0,2020.0,0.008317945,,
FR,117109000.0,2020.0,11.73621972,,
ZA,3886600.0,2020.0,0.389500308,,
IT,38419000.0,2020.0,3.850206435,,
KE,2049000.0,2019.0,0.205343007,,
MM,903000.0,2020.0,0.090495234,Level 4 (Do Not Travel),"Civil unrest, armed conflict, possible COVID-19-related restrictions and inadequate health care, possible land mines or wrongful detention"
CO,1396000.0,2020.0,0.139901824,,
KR,2519000.0,2020.0,0.252444624,,
UG,473000.0,2020.0,0.047402266,,
SD,836000.0,2018.0,0.083780749,Level 4 (Do Not Travel),"Civil unrest, possible crime, terrorism, kidnapping, and armed conflict"
ES,36410000.0,2020.0,3.648872077,,
IQ,892000.0,2013.0,0.089392856,Level 4 (Do Not Travel),"Terrorism, kidnapping, armed conflict, and civil unrest"
DZ,591000.0,2020.0,0.059227778,,
AR,7339000.0,2019.0,0.735486739,,
PL,88515000.0,2019.0,8.870637513,,
CA,32430000.0,2019.0,3.250011575,,
MA,2802000.0,2020.0,0.28080581,,
UA,3382000.0,2020.0,0.33893121,Level 4 (Do Not Travel),Full-scale military invasion
AO,218000.0,2019.0,0.021847133,,
SA,20292000.0,2019.0,2.033587261,,
UZ,6749000.0,2019.0,0.676359177,,
YE,398000.0,2015.0,0.03988605,Level 4 (Do Not Travel),"Terrorism, civil unrest, health risks, kidnapping, armed conflict, and landmines"
MZ,2033000.0,2019.0,0.203739548,,
GH,897000.0,2015.0,0.089893937,,
PE,1119000.0,2020.0,0.112141935,,
MY,4333000.0,2020.0,0.434236823,,
NP,230000.0,2020.0,0.023049727,,
MG,87100.0,2020.0,0.008728832,,
CI,668000.0,2020.0,0.066944426,,
VE,429000.0,2017.0,0.042992753,Level 4 (Do Not Travel),"Crime, civil unrest, poor health infrastructure, kidnapping, and unjust arrest and detention"
