country,suicide_rate
AF,4.1
AL,4.3
DZ,2.5
AD,
AO,6.1
AG,0.4
AR,8.4
AM,3.3
AU,12.5
AT,14.6
AZ,4.1
BH,8.9
BD,3.7
BB,0.6
BY,21.2
BE,18.3
BZ,7.1
BJ,7.8
BT,4.6
BO,6.2
BA,10.9
BW,16.1
BR,6.9
BN,2.7
BG,9.7
BF,7.5
BI,6.2
CV,12.9
KH,4.9
CM,9
CA,11.8
CF,12.3
TD,6.4
CL,9
CN,8.1
CO,3.9
KM,5.4
CG,6.5
CR,8.1
CI,8.9
HR,16.4
CU,14.5
CY,3.6
CZ,12.2
KP,9.4
CD,6.7
DK,10.7
DJ,9.6
DM,
DO,4.9
EC,7.6
EG,3
SV,6.1
GQ,7.9
ER,10.9
EE,14.9
SZ,29.4
ET,5.4
FJ,9
FI,15.3
FR,13.8
GA,8.4
GE,9.2
DE,12.3
GH,6.6
GR,5.1
GD,0.7
GT,5.9
GN,7
GW,7
GY,40.3
HT,9.6
HN,2.1
HU,16.6
IS,11.9
IN,12.7
ID,2.4
IR,5.2
IQ,3.6
IE,9.6
IL,5.3
IT,6.7
JM,2.4
JP,15.3
JO,1.6
KZ,17.6
KE,6.1
KI,28.3
KR,28.6
KW,2.9
KG,7.4
LA,5.4
LV,20.1
LB,2.8
LS,72.4
LR,4.5
LY,4.5
LI,
LT,26.1
LU,11.3
MG,5.5
MW,5.4
MY,5.7
MV,2.7
ML,4.1
MT,6.1
MH,
MR,3.1
MU,9.5
MX,5.3
FM,28.2
MD,14.7
MC,
MN,17.9
ME,21
MA,7.2
MZ,13.6
MM,2.9
NA,9.7
NR,
NP,9
NL,11.8
NZ,11
NI,4.4
NE,5.3
NG,3.5
MK,9.4
NO,11.8
OM,4.9
PK,8.9
PW,
PA,2.9
PG,3
PY,6
PE,2.8
PH,2.2
PL,11.3
PT,11.5
QA,5.8
RO,9.7
RU,25.1
RW,5.6
WS,12.6
SM,
ST,1.5
SA,6
SN,6
RS,11.4
SC,8.1
SL,6.7
SG,11.2
SK,12.1
SI,19.8
SB,14.7
SO,7.9
ZA,23.5
SS,3.9
ES,7.7
LK,14
KN,
LC,7.9
VC,1
SD,3.8
SR,25.4
SE,14.7
CH,14.5
SY,2
TJ,4.3
TZ,4.3
TH,8.8
BS,3.5
GM,4.8
TL,3.7
TG,8.8
TO,3.8
TT,8.7
TN,3.3
TR,2.4
TM,5.7
TV,
UG,4.6
UA,21.6
AE,6.4
GB,7.9
US,16.1
UY,21.2
UZ,8
VU,18
VE,2.1
VN,7.5
PS,
YE,5.8
ZM,7.3
ZW,14.1
