country,birth_rate,death_rate,life_expectancy,population_female,population_male,population,median_age
AF,35.842,7.344,62,20362329,20766442,41128771,12.9
AL,10.24,11.325,76,1391085,1384548,2775634,33.7
DZ,21.524,4.546,76,22040987,22862237,44903225,24
AD,7,3.9,,39038,40786,79824,38.9
AO,38.809,8.009,62,17998220,17590767,35588987,12.4
AG,12.115,6.365,78,48981,44782,93763,31.1
AR,13.902,8.955,75,23345532,22889298,46234830,27.6
AM,12.049,13.007,72,1530390,1250079,2780469,30.8
AU,12.1,6.7,83,13079142,12899794,25978935,33.3
AT,9.6,10.3,81,4590655,4451873,9042528,39
AZ,11.1,7.6,69,5154492,5020523,10175016,27.9
BH,11.926,2.479,79,560034,912199,1472233,29.2
BD,17.821,5.68,72,86327159,84859213,171186372,22.7
BB,10.832,9.007,78,146550,135084,281635,35.2
BY,9.283,16.544,72,4968656,4240046,9208701,36.5
BE,10.2,9.7,82,5903468,5765978,11669446,37.1
BZ,17.976,6.353,70,201525,203747,405272,21.6
BJ,36.608,9.434,60,6663569,6689295,13352864,13.6
BT,12.482,6.477,72,368525,413930,782455,24.8
BO,21.836,9.945,64,6097747,6126364,12224110,20.1
BA,8.42,15.712,75,1641713,1591814,3233526,38.1
BW,23.576,9.461,61,1331489,1298807,2630296,19.7
BR,12.883,8.326,73,109580471,105733027,215313498,29.2
BN,13.8,5.211,75,216797,232205,449002,28.2
BG,8.5,21.7,72,3329964,3135133,6465097,40.7
BF,35.541,8.958,59,11374607,11299155,22673762,12.9
BI,34.842,7.474,62,6488650,6400926,12889576,11.9
CV,16.951,6.028,74,298239,294911,593149,22.9
KH,19.334,6.838,70,8468316,8299527,16767842,22.7
CM,34.938,8.582,60,13992014,13922522,27914536,13.6
CA,9.6,7.8,83,19583244,19346659,38929902,36.4
CF,42.68,11.393,54,2790791,2788352,5579144,10.8
TD,43.357,12.504,53,8827313,8896002,17723315,11.2
CL,11.788,7.426,79,9874202,9729531,19603733,31.3
CN,7.52,7.18,78,691528501,720646499,1412175000,34.5
CO,14.204,7.735,73,26298417,25575607,51874024,27.2
KM,29.398,8.718,63,416416,420357,836774,16.3
CG,30.691,7.063,64,2988624,2981800,5970424,14.3
CR,11.873,7.192,77,2590119,2590709,5180829,29.3
CI,33.934,9.001,59,13944972,14215570,28160542,13.8
HR,9.4,16.2,76,1976858,1877142,3854000,40
CU,8.922,14.652,74,5649497,5562694,11212191,37.2
CY,10.313,7.257,81,624713,626775,1251488,34.1
CZ,10.6,13.3,77,5340795,5185278,10526073,38.8
KP,13.24,9.313,73,13164298,12905119,26069416,31.9
CD,42.049,9.7,59,49892177,49118035,99010212,11.7
DK,10.8,9.8,81,2966194,2936844,5903037,37.2
DJ,22.205,9.147,62,564584,556264,1120849,20
DM,13.326,8.986,73,36577,36161,72737,28.1
DO,18.432,6.678,73,5594560,5634261,11228821,23.4
EC,16.817,6.719,74,9016398,8984602,18001000,23.9
EG,22.558,6.327,70,54865512,56124592,110990103,20.1
SV,16.025,8.661,71,3319856,3016535,6336392,22.8
GQ,30.498,9.042,61,790982,883926,1674908,16.8
ER,28.624,6.729,67,1866154,1817878,3684032,14.5
EE,10,14,77,706316,638452,1344768,37.7
SZ,24.134,11.356,57,605504,596167,1201670,17.7
ET,32.383,6.776,65,61399749,61980175,123379924,14.7
FJ,19.345,8.859,67,463626,466140,929766,23
FI,9,10.4,82,2811103,2745778,5556880,38.6
FR,10.9,9.7,82,35105568,32830093,67935660,37.9
GA,27.142,7.258,66,1173488,1215505,2388992,17.7
GE,13.412,15.166,72,1967488,1745015,3712502,32.5
DE,9.6,12.3,81,42593197,41486614,84079811,40.9
GH,27.548,7.627,64,16780756,16695114,33475870,16.6
GR,8,13.5,80,5395279,5171252,10566531,41.1
GD,15.961,8.151,75,62717,62721,125438,27.1
GT,21.12,6.504,69,8767508,8590378,17357886,18.5
GN,34.425,9.99,59,7005320,6854020,13859341,13.9
GW,31.087,8.716,60,1065706,1039860,2105566,14.5
GY,20.298,9.987,66,412743,395982,808726,21.8
HT,23.498,8.676,63,5846285,5738710,11584996,19.3
HN,21.071,5.608,70,5165506,5267354,10432860,19.8
HU,9.7,16.1,74,5034412,4649092,9683505,38.1
IS,13.1,6.3,83,186151,195748,381900,32.1
IN,16.419,9.448,67,685992675,731180498,1417173173,23.9
ID,16.425,10.065,68,136798063,138703277,275501339,25.6
IR,13.699,6.437,74,43835978,44714592,88550570,28.4
IQ,27.367,4.753,70,22205751,22290370,44496122,16
IE,11.6,6.6,82,2565839,2521149,5086988,33.9
IL,19.7,5.4,82,4786984,4763616,9550600,25.1
IT,6.8,12,83,30156052,28700795,58856847,43.2
JM,11.712,8.797,70,1424998,1402379,2827377,27.3
JP,6.6,11.7,84,64314912,60810077,125124989,44.7
JO,21.95,3.868,74,5438953,5846915,11285869,19.7
KZ,23.5,9.61,70,10179087,9442885,19621972,25.5
KE,27.685,8.056,61,27249938,26777549,54027487,15.4
KI,27.207,6.236,67,67289,63943,131232,18
KR,5.1,6.2,84,25854364,25773753,51628117,39.9
KW,10.41,2.906,79,1672926,2595948,4268873,35.1
KG,22.4,5.8,72,3462998,3340302,6803300,19.8
LA,21.973,6.613,68,3734796,3794678,7529475,20.1
LV,9.2,18.4,73,1009778,873600,1883379,39.8
LB,14.948,8.271,75,2827383,2662356,5489739,24.6
LS,26.107,14.186,53,1168329,1137496,2305825,18.2
LR,31.287,8.838,61,2661979,2640702,5302681,14.2
LY,17.828,6.018,72,3365279,3447062,6812341,22.6
LI,9.6,6.9,84,19825,19502,39327,39.9
